,Unnamed: 0,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
0,0,"LIL NAS,",OLD TOWN ROAD,16.47826086956522,1.0,7.0,"COUNTRY,ATLANTA,ALTERNATIVE COUNTRY,HIP-HOP,TRAP,MEMES,REMIX,COUNTRY RAP,RAP"
1,1,"SHAWN MENDES, CAMILA CABELLO",SENORITA,41.73684210526316,,,POP
2,2,BILLIE EILISH,BAD GUY,48.0,2.0,13.0,"HIP-HOP,DARK POP,HOUSE,TRAP,MEMES,ALTERNATIVE DANCE,ALTERNATIVE,ALTERNATIVE POP,DANCE-POP,DANCE,ELECTRO-POP,ELECTRO,POP"
3,3,KHALID,TALK,34.41463414634146,3.0,20.0,"SYNTH-POP,POP"
4,4,"ED SHEERAN, JUSTIN BIEBER",I DON'T CARE,38.9,2.0,7.0,"CANADA,UK,DANCE,DANCE-POP,POP"
5,5,JONAS BROTHERS,SUCKER,19.46153846153846,1.0,17.0,"ALTERNATIVE POP,BOY BAND,TEEN POP,POP-ROCK,POP"
6,6,DABABY,SUGE,86.0,7.0,13.0,"TRAP,EAST COAST,RAP"
7,7,DRAKE,MONEY IN THE GRAVE,80.15384615384616,7.0,2.0,"HIP-HOP,RAP,BASKETBALL,NBA,CANADA"
8,8,CHRIS BROWN,NO GUIDANCE,57.75,9.0,3.0,"ALTERNATIVE R&;B,HIP-HOP,RAP,POP,DMV,CANADA,R&;B"
9,9,POST MALONE,WOW.,91.4,2.0,27.0,"MEMES,HIP-HOP,TRAP,RAP"
10,10,LIZZO,TRUTH HURTS,100.0,11.0,8.0,"POP,RAP"
11,11,"POST MALONE, SWAE LEE",SUNFLOWER,41.27272727272727,1.0,36.0,"RAP,DISNEY,HIP-HOP,MARVEL,SOUNDTRACK,R&;B,POP"
12,12,TAYLOR SWIFT,YOU NEED TO CALM DOWN,64.2,2.0,2.0,"SYNTH-POP,LGBTQ+,POP"
13,13,SHAWN MENDES,IF I CAN'T HAVE YOU,65.0,2.0,8.0,"CANADA,TEEN POP,POP"
14,14,"SAM SMITH, NORMANI",DANCING WITH A STRANGER,88.54545454545455,7.0,24.0,"UK,POP"
15,15,LIL NAS X,PANINI,57.4375,,,"MEMES,ATLANTA,HIP-HOP,TRAP,RAP"
16,16,HALSEY,WITHOUT ME,90.0,1.0,38.0,"SYNTH-POP,R&;B,ALTERNATIVE POP,BALLAD,POP,ALTERNATIVE"
17,17,BLAKE SHELTON,GOD'S COUNTRY,87.0,18.0,13.0,COUNTRY
18,18,POLO G,POP OUT,34.9,11.0,14.0,"TRAP,RAP"
19,19,NICKI MINAJ,MEGATRON,90.92307692307692,,,"EAST COAST,HIP-HOP,RAP"
20,20,AVA MAX,SWEET BUT PSYCHO,81.25,10.0,28.0,"DANCE-POP,DANCE,ELECTRONIC POP,ELECTRO,R&;B,ELECTRONIC,ELECTRO-POP,UK,POP"
21,21,"LIL NAS X, CARDI B",RODEO,83.0,,,"COUNTRY,ATLANTA,EAST COAST,TRAP,COUNTRY RAP,HIP-HOP,RAP"
22,22,ARIANA GRANDE,7 RINGS,84.66666666666667,1.0,23.0,"MEMES,TRAP,R&;B,POP"
23,23,PANIC! AT THE DISCO,"HEY LOOK MA, I MADE IT",48.4,24.0,11.0,"POP-ROCK,JAZZ FUSION,ALTERNATIVE,ALTERNATIVE POP,ELECTRO-POP,POP"
24,24,"MARSHMELLO, BASTILLE",HAPPIER,67.54545454545455,2.0,45.0,"ADULT ALTERNATIVE,PRODUCER,ALTERNATIVE DANCE,ALTERNATIVE POP,ALTERNATIVE ROCK,ADULT CONTEMPORARY,ELECTRO-POP,FUTURE BASS,ELECTRONIC,DANCE,POP"
25,25,LEE BRICE,RUMOR,34.0,25.0,16.0,COUNTRY
26,26,KATY PERRY,NEVER REALLY OVER,90.83333333333331,15.0,4.0,"ELECTRO-POP,SYNTH-POP,POP"
27,27,MORGAN WALLEN,WHISKEY GLASSES,41.25,17.0,17.0,COUNTRY
28,28,BLANCO BROWN,THE GIT UP,36.32,29.0,3.0,"ATLANTA,DANCE,RAP,COUNTRY RAP,COUNTRY"
29,29,"YOUNG THUG, J. COLE, TRAVIS SCOTT",THE LONDON,57.25,12.0,5.0,"HIP-HOP,EAST COAST,ATLANTA,RAP"
30,30,TAYLOR SWIFT,ME!,41.85714285714285,2.0,10.0,"DREAM-POP,BUBBLEGUM POP,DANCE-POP,POP"
31,31,PANIC! AT THE DISCO,HIGH HOPES,50.57142857142857,4.0,47.0,"ADULT ALTERNATIVE,ROCK,POWER POP,POP-ROCK,ALTERNATIVE,ALTERNATIVE ROCK,CLASSICAL CROSSOVER,ELECTRO-POP,ALTERNATIVE POP,POP"
32,32,LUKE COMBS,BEER NEVER BROKE MY HEART,35.45,22.0,8.0,"ROCK,COUNTRY"
33,33,CITY GIRLS,ACT UP,16.217391304347824,26.0,17.0,"MOTOWN,EAST COAST,RAP"
34,34,"BENNY BLANCO, HALSEY, KHALID",EASTSIDE,99.0,9.0,50.0,"R&;B,POP"
35,35,J. COLE,MIDDLE CHILD,37.4,4.0,23.0,"TRAP,EAST COAST,RAP"
36,36,"DADDY YANKEE, KATY PERRY",CON CALMA,25.30434782608696,22.0,21.0,"LATIN POP,DANCEHALL,POP,REGGAETON,EN ESPA\XC3\XB1OL,LATIN URBAN,LATIN MUSIC"
37,37,"MUSTARD, MIGOS",PURE WATER,90.14285714285714,23.0,22.0,"ATLANTA,TRAP,WEST COAST,MOTOWN,RAP"
38,38,ED SHEERAN,CROSS ME,85.2,34.0,5.0,"RAP,R&;B,UK,POP"
39,39,MEEK MILL,GOING BAD,58.65625,6.0,30.0,"EAST COAST,CANADA,RAP"
40,40,KHALID,BETTER,21.4390243902439,8.0,41.0,"ELECTRO-POP,POP,R&;B"
41,41,"LADY GAGA, BRADLEY COOPER",SHALLOW,92.0,1.0,39.0,"POP COUNTRY,FOLK,MUSICALS,SCREEN,POP-ROCK,SOUNDTRACK,POP"
42,42,CARDI B,PRESS,37.90909090909091,16.0,4.0,"HARDCORE HIP-HOP,TRAP,HIP-HOP,RAP"
43,43,DAN + SHAY,SPEECHLESS,20.65,24.0,27.0,COUNTRY
44,44,TRAVIS SCOTT,SICKO MODE,74.0,1.0,47.0,"HIP-HOP,MEMES,RAP,CANADA,TRAP"
45,45,"TYLER, THE CREATOR",EARFQUAKE,94.44444444444444,13.0,6.0,"HIP-HOP,ATLANTA,ALTERNATIVE R&;B,EXPERIMENTAL,NEO SOUL,R&;B,RAP,NEO-PSYCHEDELIA,ALTERNATIVE,PSYCHEDELIC"
46,46,A BOOGIE WIT DA HOODIE,LOOK BACK AT IT,66.0,27.0,29.0,"POP,RAP"
47,47,NLE CHOPPA,SHOTTA FLOW,90.0,48.0,10.0,RAP
48,48,ARIANA GRANDE,"BREAK UP WITH YOUR GIRLFRIEND, I'M BORED",82.0,2.0,20.0,"TRAP,TRIP-HOP,LO-FI,R&;B,POP"
49,49,HALSEY,NIGHTMARE,86.0,15.0,6.0,"ALTERNATIVE ROCK,ALTERNATIVE POP,ALTERNATIVE,POP-PUNK,POP"
50,50,"YG, TYGA, JON Z",GO LOKO,78.66666666666667,49.0,8.0,"TRAP,PUERTO RICO,WEST COAST,RAP"
51,51,LEWIS CAPALDI,SOMEONE YOU LOVED,92.0,53.0,7.0,"UK,POP"
52,52,THOMAS RHETT,LOOK WHAT GOD GAVE HER,69.0,32.0,17.0,COUNTRY
53,53,JONAS BROTHERS,COOL,26.23809523809524,27.0,12.0,"TEEN POP,POP-ROCK,POP"
54,54,OFFSET,CLOUT,95.0,39.0,12.0,"EAST COAST,MOTOWN,RAP"
55,55,"MARSHMELLO, KANE BROWN",ONE THING RIGHT,29.0,,,POP
56,56,KANE BROWN,GOOD AS YOU,55.1875,36.0,18.0,COUNTRY
57,57,YK OSIRIS,WORTH IT,57.6,52.0,19.0,"RAP,EAST COAST,R&;B"
58,58,DJ KHALED,JUST US,66.0,43.0,6.0,"RAP,R&;B"
59,59,LUKE BRYAN,KNOCKIN' BOOTS,48.0,59.0,9.0,COUNTRY
60,60,P!NK,WALK ME HOME,42.0,49.0,17.0,POP
61,61,MAREN MORRIS,GIRL,28.25,59.0,17.0,"POP,COUNTRY,POP COUNTRY"
62,62,5 SECONDS OF SUMMER,EASIER,81.5,48.0,5.0,"AUSTRALIA,POP"
63,63,"CARDI B, BRUNO MARS",PLEASE ME,42.3,3.0,19.0,"RAP,EAST COAST,WEST COAST,SOUL POP,R&;B,POP"
64,64,ERIC CHURCH,SOME OF IT,23.142857142857142,65.0,5.0,COUNTRY
65,65,DAN + SHAY,ALL TO MYSELF,83.0,66.0,8.0,COUNTRY
66,66,"BAD BUNNY, TAINY",CALLAITA,42.66666666666666,68.0,3.0,"POP,LATIN POP,DANCEHALL,REGGAETON,LATIN MUSIC,LATIN URBAN,PUERTO RICO,EN ESPA\XC3\XB1OL"
67,67,MEEK MILL,24/7,97.0,54.0,12.0,"EAST COAST,UK,R&;B,RAP"
68,68,ALI GATIE,IT'S YOU,73.0,70.0,2.0,R&;B
69,69,JASON ALDEAN,REARVIEW TOWN,17.55,68.0,5.0,COUNTRY
70,70,LIL BABY,OUT THE MUD,27.1,,,"ATLANTA,TRAP,RAP"
71,71,"THE CHAINSMOKERS, BEBE REXHA",CALL YOU MINE,6.565217391304348,67.0,4.0,"ELECTRONIC POP,EDM,ELECTRO HOUSE,ELECTRO,ELECTRO-POP,ELECTRONIC,DANCE-POP,DANCE,POP"
72,72,"SUMMER WALKER, DRAKE",GIRLS NEED LOVE,43.4,37.0,18.0,"ATLANTA,CANADA,REMIX,R&;B"
73,73,"LUNAY, DADDY YANKEE, BAD BUNNY",SOLTERA,22.25,73.0,7.0,"REGGAETON,LATIN MUSIC,LATIN URBAN,PUERTO RICO,LATIN POP,EN ESPA\XC3\XB1OL,POP"
74,74,FLORIDA GEORGIA LINE,TALK YOU OUT OF IT,27.95,73.0,19.0,COUNTRY
75,75,SHAED,TRAMPOLINE,79.0,77.0,4.0,POP
76,76,"YELLA BEEZY, GUCCI MANE, QUAVO",BACC AT IT AGAIN,59.333333333333336,78.0,5.0,"HIP-HOP,RAP"
77,77,BEYONCE,BEFORE I LET GO,33.0,65.0,10.0,"BOUNCE,COVER,SOUNDTRACK,POP,SOUL POP,SOUL,FUNK,R&;B"
78,78,DJ KHALED,WISH WISH,88.0,19.0,6.0,"ATLANTA,TRAP,RAP"
79,79,CHRIS YOUNG,RAISED ON COUNTRY,94.5,81.0,4.0,COUNTRY
80,80,TRAVIS SCOTT,WAKE UP,74.9,30.0,4.0,"TRAP,R&;B,CANADA,RAP"
81,81,SECH,OTRO TRAGO,67.4,81.0,3.0,"DANCEHALL,REGGAETON,LATIN MUSIC,LATIN URBAN,EN ESPA\XC3\XB1OL,PUERTO RICO,LATIN POP,POP"
82,82,CHASE RICE,EYES ON YOU,60.0,38.0,19.0,COUNTRY
83,83,BRYCE VINE,LA LA LAND,69.0,85.0,4.0,"POP,RAP,HIP-HOP,R&;B"
84,84,BILLIE EILISH,OCEAN EYES,61.583333333333336,84.0,18.0,"ALTERNATIVE DANCE,SYNTH-POP,AMBIENT,INDIE POP,ALTERNATIVE POP,ALTERNATIVE,POP"
85,85,MARSHMELLO,HERE WITH ME,30.0,31.0,16.0,"PROGRESSIVE HOUSE,HOUSE,ELECTRO HOUSE,ELECTRONIC POP,ALTERNATIVE POP,ELECTRONIC,DUBSTEP,DANCE,ELECTRO,ELECTRONICA,ELECTRO-POP,EDM,SYNTH-POP,POP"
86,86,BRETT ELDREDGE,LOVE SOMEONE,74.0,52.0,10.0,COUNTRY
87,87,LIL UZI VERT,SANGUINE PARADISE,78.4,28.0,11.0,"EAST COAST,TRAP,RAP"
88,88,ELI YOUNG BAND,LOVE AIN'T,94.0,50.0,11.0,COUNTRY
89,89,"PEDRO CAPO, FARRUKO",CALMA,67.76923076923077,71.0,15.0,"PUERTO RICO,REGGAETON,LATIN MUSIC,LATIN POP,LATIN URBAN,REMIX,EN ESPA\XC3\XB1OL,POP"
90,90,JONAS BROTHERS,ONLY HUMAN,98.0,91.0,3.0,POP
91,91,JUSTIN MOORE,THE ONES THAT DIDN'T MAKE IT BACK HOME,82.0,93.0,2.0,COUNTRY
92,92,MEGAN THEE STALLION,BIG OLE FREAK,71.0,65.0,12.0,RAP
93,93,NAV,TAP,75.6,89.0,3.0,"CANADA,EAST COAST,RAP"
94,94,DJ KHALED,YOU STAY,72.17647058823529,44.0,4.0,"ATLANTA,R&;B,LATIN MUSIC,EN ESPA\XC3\XB1OL,RAP"
95,95,"OZUNA, DADDY YANKEE, J BALVIN, FARRUKO, ANUEL AA",BAILA BAILA BAILA,30.11111111111111,69.0,9.0,"LATIN POP,REGGAETON,REMIX,PUERTO RICO,EN ESPA\XC3\XB1OL,LATIN URBAN,LATIN MUSIC,POP"
96,96,MEGAN THEE STALLION,CASH SHIT,70.0,,,"EAST COAST,RAP"
97,97,DRAKE,OMERTA,100.0,35.0,2.0,"HIP-HOP,BASKETBALL,NBA,CANADA,RAP"
98,98,MARTIN GARRIX,SUMMER DAYS,75.0,,,"ELECTRONIC POP,ELECTRO,ELECTRO HOUSE,NEDERLAND,ELECTRONIC,ELECTRO-POP,RAP,ELECTRONIC TRAP,TROPICAL HOUSE,DANCE-POP,POP"
99,99,BILLIE EILISH,WHEN THE PARTY'S OVER,65.0,29.0,32.0,"R&;B,AMBIENT,ART POP,INDIE POP,BALLAD,POP"
100,100,CALBOY,ENVY ME,11.0,31.0,27.0,RAP
101,101,KELSEA BALLERINI,MISS ME MORE,59.76190476190476,47.0,20.0,COUNTRY
102,102,DREAMVILLE,DOWN BAD,89.83333333333333,,,"EAST COAST,ATLANTA,RAP"
103,103,JOJI,SANCTUARY,73.25,,,"SYNTH-POP,ALTERNATIVE R&;B,POP,BALLAD,ELECTRONIC"
104,104,MARSHMELLO,RESCUE ME,66.38461538461539,,,"EDM,POP-PUNK,ELECTRONIC,POP"
105,105,"NICKY JAM, OZUNA",TE ROBARE,85.0,91.0,6.0,"REGGAETON,PUERTO RICO,LATIN URBAN,LATIN MUSIC,LATIN POP,EN ESPA\XC3\XB1OL,POP"
106,106,JUICE WRLD,ROBBERY,66.66666666666667,27.0,18.0,"TRAP,EMO RAP,EMO,RAP"
107,107,NIPSEY HUSSLE,RACKS IN THE MIDDLE,94.0,26.0,11.0,RAP
108,108,LUKE COMBS,BEAUTIFUL CRAZY,62.10526315789474,21.0,31.0,COUNTRY
109,109,LIL BABY,CLOSE FRIENDS,26.91304347826087,28.0,33.0,"ATLANTA,MOTOWN,TRAP,RAP"
110,110,BILLIE EILISH,BURY A FRIEND,71.93333333333334,14.0,20.0,"TRAP,ALTERNATIVE,DARK POP,INDUSTRIAL,ALTERNATIVE POP,ELECTRONICA,POP"
111,111,LUKE COMBS,EVEN THOUGH I'M LEAVING,84.0,,,COUNTRY
112,112,YO GOTTI,PUT A DATE ON IT,89.0,46.0,20.0,RAP
113,113,AVICII,HEAVEN,24.17391304347826,,,"ELECTRO,EDM,ELECTRO-POP,DANCE,DANCE-POP,ELECTRONIC,SCANDIPOP,SCANDINAVIA,SVERIGE,POP"
114,114,FUTURE,PLEASE TELL ME,90.0,,,"R&;B,TRAP,ATLANTA,RAP"
115,115,CODY JOHNSON,ON MY WAY TO YOU,38.21052631578947,78.0,16.0,COUNTRY
116,116,OZUNA,AMOR GENUINO,46.45,,,"LATIN POP,EN ESPA\XC3\XB1OL,POP,PUERTO RICO,LATIN MUSIC"
117,117,FUTURE,XANAX DAMAGE,55.63636363636363,,,"ALTERNATIVE R&;B,R&;B,ATLANTA,RAP"
118,118,FUTURE,GOVERNMENT OFFICIAL,38.083333333333336,,,"ATLANTA,TRAP,RAP"
119,119,MILEY CYRUS,MOTHER'S DAUGHTER,58.8,,,"R&;B,LGBTQ+,FEMINISM,POP"
120,120,YNW MELLY,MURDER ON MY MIND,97.0,14.0,20.0,"HIP-HOP,RAP"
121,121,NF,THE SEARCH,38.42307692307692,,,"HIP-HOP,CONSCIOUS HIP-HOP,RAP"
122,122,JOYNER LUCAS,ISIS,21.35,59.0,2.0,"TRAP,HIP-HOP,EAST COAST,DMV,RAP"
123,123,LOGIC,HOMICIDE,51.241379310344826,5.0,5.0,"TRAP,HIP-HOP,DMV,RAP"
124,124,TRIPPIE REDD,UNDER ENEMY ARMS,53.8,,,RAP
125,125,JON PARDI,NIGHT SHIFT,79.83333333333333,56.0,16.0,COUNTRY
126,126,21 SAVAGE,A LOT,29.35,12.0,23.0,"EAST COAST,TRAP,RAP"
127,127,BLUEFACE,THOTIANA,72.25,8.0,20.0,"TRAP,HIP-HOP,WEST COAST,EAST COAST,REMIX,RAP"
128,128,DJ KHALED,HIGHER,74.55555555555556,21.0,2.0,"NEO SOUL,WEST COAST,RAP"
129,129,THE CHAINSMOKERS,WHO DO YOU LOVE,94.0,52.0,16.0,"FUTURE BASS,DANCE-POP,DANCE,AUSTRALIA,POP"
130,130,MABEL,DON'T CALL ME UP,88.0,66.0,10.0,"R&;B,UK,POP"
131,131,LIL DICKY,EARTH,62.35,17.0,6.0,"MEMES,CHARITY,R&;B,CONSCIOUS HIP-HOP,COMEDY,SATIRE,AFROBEATS,UK,CLIMATE CHANGE,POP,HIP-HOP,RAP"
132,132,LIZZO,JUICE,83.125,93.0,2.0,"ELECTRO-FUNK,FUNK-POP,FUNK,DANCE,DANCE-POP,ALTERNATIVE POP,SYNTH-POP,R&;B"
133,133,MALUMA,HP,95.0,,,"COLOMBIA,REGGAETON,LATIN POP,LATIN MUSIC,LATIN URBAN,EN ESPA\XC3\XB1OL,POP"
134,134,YNW MELLY,MIXED PERSONALITIES,51.2,42.0,18.0,"RAP,TRAP"
135,135,BAZZI,PARADISE,61.55,91.0,3.0,POP
136,136,JHENE AIKO,TRIGGERED,58.294117647058826,51.0,3.0,"WEST COAST,R&;B"
137,137,MAROON 5,GIRLS LIKE YOU,90.33333333333331,1.0,52.0,"POP-ROCK,EAST COAST,REMIX,RAP,POP"
138,138,"TYLER, THE CREATOR",I THINK,68.0,,,"ELECTRO-FUNK,FUNK,ALTERNATIVE DANCE,NU DISCO,DISCO,NIGERIA,RAP,NEO SOUL,ALTERNATIVE R&;B,R&;B,ALTERNATIVE,EXPERIMENTAL,WEST COAST"
139,139,DJ KHALED,CELEBRATE,70.0,,,"TRAP,POP,R&;B"
140,140,DJ KHALED,JEALOUS,27.2,,,"RAP,R&;B"
141,141,"TYLER, THE CREATOR",RUNNING OUT OF TIME,82.125,,,"RAP,NEO SOUL,ALTERNATIVE R&;B,R&;B,EXPERIMENTAL,ALTERNATIVE,WEST COAST"
142,142,"TYLER, THE CREATOR",IGOR'S THEME,77.0,,,"ALTERNATIVE,RAP,EXPERIMENTAL"
143,143,"TYLER, THE CREATOR",NEW MAGIC WAND,55.31578947368421,,,"EXPERIMENTAL,PSYCHEDELIC SOUL,HIP-HOP,RAP,PSYCHEDELIC,ALTERNATIVE"
144,144,"TYLER, THE CREATOR",A BOY IS A GUN,29.714285714285715,,,"RAP,NEO SOUL,ALTERNATIVE R&;B,EXPERIMENTAL,ALTERNATIVE,WEST COAST,ALTERNATIVE POP,R&;B"
145,145,"TYLER, THE CREATOR",WHAT'S GOOD,80.0,,,"RAP,HARDCORE HIP-HOP,EXPERIMENTAL,ALTERNATIVE,WEST COAST"
146,146,LADY ANTEBELLUM,WHAT IF I NEVER GET OVER YOU,80.33333333333333,,,"BALLAD,COUNTRY"
147,147,"TYLER, THE CREATOR",PUPPET,56.0,,,"RAP,NEO-PSYCHEDELIA,PSYCHEDELIC,EXPERIMENTAL,SOUL,ALTERNATIVE,WEST COAST"
148,148,DJ KHALED,WEATHER THE STORM,100.0,,,"ATLANTA,TRAP,RAP"
149,149,BRETT YOUNG,HERE TONIGHT,39.0,42.0,20.0,COUNTRY
150,150,DEAN LEWIS,BE ALRIGHT,53.471698113207545,23.0,29.0,"ROCK,ALTERNATIVE POP,ALTERNATIVE ROCK,INDIE POP,INDIE ROCK,SINGER-SONGWRITER,ALTERNATIVE,INDIE,AUSTRALIA,POP"
151,151,"LIL BABY, GUNNA",DRIP TOO HARD,23.94736842105263,4.0,35.0,"HIP-HOP,ATLANTA,MEMES,MOTOWN,TRAP,RAP"
152,152,ARIANA GRANDE,"THANK U, NEXT",93.0,1.0,28.0,"DREAM-POP,MEMES,R&;B,POP"
153,153,PINKFONG,BABY SHARK,45.388888888888886,32.0,20.0,"ALTERNATIVE ROCK,MEMES,CHILDREN&#39;S MUSIC,POP"
154,154,OLD DOMINION,MAKE IT SWEET,36.06060606060606,56.0,20.0,COUNTRY
155,155,ELLA MAI,SHOT CLOCK,94.0,62.0,16.0,"UK,R&;B"
156,156,"LAUV, TROYE SIVAN",I'M SO TIRED...,48.25,81.0,6.0,POP
157,157,BILLIE EILISH,YOU SHOULD SEE ME IN A CROWN,68.25,41.0,8.0,"INDIE,HIP-HOP,DARK POP,ALTERNATIVE POP,ALTERNATIVE,ELECTRO-POP,TRAP,DREAM-POP,INDIE POP,POP"
158,158,AVICII,SOS,37.0,68.0,4.0,"ELECTRO,ELECTRONIC,ELECTRO-POP,DANCE-POP,DANCE,SCANDIPOP,SCANDINAVIA,WEST COAST,EDM,SVERIGE,POP"
159,159,BILLIE EILISH,WISH YOU WERE GAY,68.4,31.0,11.0,"INDIE,INDIE POP,ALTERNATIVE,ALTERNATIVE POP,POP"
