,Unnamed: 0,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
5711,5711,NEW FOUND GLORY,MY FRIENDS OVER YOU,78.66666666666667,85.0,6.0,ROCK
5712,5712,KYLIE MINOGUE,LOVE AT FIRST SIGHT,81.66666666666667,23.0,16.0,"HOUSE,ELECTRONIC,DANCE-POP,POP"
5713,5713,SHERYL CROW,STEVE MCQUEEN,30.074074074074076,88.0,5.0,COUNTRY
5714,5714,AMERIE,WHY DON'T WE FALL IN LOVE,73.33333333333333,23.0,19.0,R&;B
5715,5715,BRUCE SPRINGSTEEN,THE RISING,77.22222222222223,52.0,11.0,"ADULT ALTERNATIVE,SINGER-SONGWRITER,ADULT CONTEMPORARY,HEARTLAND ROCK,ROCK"
5716,5716,CLIPSE,GRINDIN',47.76190476190476,30.0,20.0,"HIP-HOP,EAST COAST,HARDCORE HIP-HOP,GANGSTA RAP,GAMING,SOUNDTRACK,RAP"
5717,5717,CRAIG DAVID,WALKING AWAY,64.5,44.0,20.0,"UK,R&;B"
5718,5718,PAPA ROACH,SHE LOVES ME NOT,37.42105263157895,76.0,12.0,"RAP,NU-METAL,ROCK"
5719,5719,TWEET,CALL ME,66.5,31.0,19.0,ROCK
5720,5720,MARC ANTHONY,I'VE GOT YOU,99.0,81.0,14.0,ROCK
5721,5721,BBMAK,OUT OF MY HEART,63.785714285714285,56.0,8.0,POP
5722,5722,JENNIFER LOPEZ,I'M GONNA BE ALRIGHT,30.7,10.0,23.0,"POP,REMIX,R&;B,RAP"
5723,5723,THE HIVES,HATE TO SAY I TOLD YOU SO,47.28125,86.0,11.0,"INDIE ROCK,PUNK ROCK,SOUNDTRACK,ALTERNATIVE ROCK,GARAGE PUNK,ROCK"
5724,5724,SLUM VILLAGE,TAINTED,98.0,87.0,11.0,RAP
5725,5725,DONELL JONES,PUT ME DOWN,27.375,98.0,3.0,R&;B
5726,5726,BIG TYMERS,STILL FLY,34.3,11.0,24.0,RAP
5727,5727,ASHANTI,FOOLISH,50.09090909090909,1.0,32.0,"SOUL,R&;B"
5728,5728,RUFF ENDZ,SOMEONE TO LOVE YOU,17.633333333333333,49.0,20.0,R&;B
5729,5729,MONICA,ALL EYEZ ON ME,75.33333333333333,69.0,7.0,R&;B
5730,5730,BRANDY,FULL MOON,93.83333333333331,18.0,20.0,R&;B
5731,5731,LIL WAYNE,WAY OF LIFE,59.31818181818182,71.0,12.0,RAP
5732,5732,THE CALLING,WHEREVER YOU WILL GO,52.75,5.0,45.0,"SCREEN,SOUNDTRACK,POP,ROCK"
5733,5733,BRAD PAISLEY,I'M GONNA MISS HER,91.75,29.0,20.0,"COUNTRY,ROCK"
5734,5734,ANDY GRIGGS,TONIGHT I WANNA BE YOUR MAN,82.0,52.0,12.0,COUNTRY
5735,5735,CAM'RON,OH BOY,33.27272727272727,4.0,21.0,RAP
5736,5736,MUSIQ,HALFCRAZY,24.55,16.0,25.0,R&;B
5737,5737,PUDDLE OF MUDD,BLURRY,22.054054054054053,5.0,38.0,"POST-GRUNGE,ROCK"
5738,5738,DONELL JONES,YOU KNOW THAT I LOVE YOU,58.2,54.0,20.0,R&;B
5739,5739,WHITNEY HOUSTON,WHATCHULOOKINAT,24.865384615384617,96.0,3.0,"POP,SOUL POP,SOUL,R&;B"
5740,5740,YASMEEN,BLUE JEANS,23.56,97.0,4.0,RAP
5741,5741,MICHELLE BRANCH,ALL YOU WANTED,66.15,6.0,28.0,"POP-PUNK,ROCK"
5742,5742,DEFAULT,WASTING MY TIME,76.11111111111111,13.0,35.0,"ALTERNATIVE ROCK,HARD ROCK,POST-GRUNGE,ROCK"
5743,5743,TRUTH HURTS,ADDICTIVE,71.0,9.0,20.0,"R&;B,RAP"
5744,5744,NO DOUBT,HELLA GOOD,53.85,13.0,20.0,"FUNK,FUNK ROCK,DANCE-POP,DANCE,ELECTRONIC ROCK,POP,ROCK"
5745,5745,SOLUNA,FOR ALL TIME,34.68181818181818,72.0,11.0,"EN ESPA\XC3\XB1OL,POP"
5746,5746,LONESTAR,NOT A DAY GOES BY,77.5,36.0,17.0,COUNTRY
5747,5747,FAT JOE,WHAT'S LUV?,81.0,2.0,28.0,"R&;B,RAP"
5748,5748,JOE,WHAT IF A WOMAN,100.0,63.0,16.0,R&;B
5749,5749,FILTER,WHERE DO WE GO FROM HERE,54.0,94.0,5.0,ROCK
5750,5750,GEORGE STRAIT,LIVING AND LIVING WELL,77.0,27.0,20.0,COUNTRY
5751,5751,STEVE AZAR,I DON'T HAVE TO BE ME,80.9090909090909,35.0,20.0,POP
5752,5752,B2K,GOTS TA BE,80.0,34.0,17.0,"R&;B,RAP"
5753,5753,"BROOKS, DUNN",MY HEART IS LOST TO YOU,73.0,48.0,13.0,COUNTRY
5754,5754,PILAR MONTENEGRO,QUITAME ESE HOMBRE,62.6,74.0,13.0,"EN ESPA\XC3\XB1OL,POP"
5755,5755,PAULINA RUBIO,DON'T SAY GOODBYE,35.76190476190476,41.0,16.0,POP
5756,5756,NICKELBACK,HOW YOU REMIND ME,76.0,1.0,49.0,"ALTERNATIVE ROCK,HARD ROCK,POST-GRUNGE,ROCK"
5757,5757,MARY J. BLIGE,RAINY DAYZ,67.33333333333333,12.0,20.0,"SOUL,SOUL POP,POP,R&;B,RAP"
5758,5758,TRACE ADKINS,HELP ME UNDERSTAND,86.0,80.0,4.0,COUNTRY
5759,5759,"TANTO METRO, DEVONTE",GIVE IT TO HER,61.4,85.0,20.0,"JAMAICA,DANCEHALL,POP"
5760,5760,KORN,HERE TO STAY,66.45,72.0,12.0,"METAL,HARD ROCK,ALTERNATIVE METAL,NU-METAL,ROCK"
5761,5761,USHER,U DON'T HAVE TO CALL,35.8,3.0,26.0,"NEO SOUL,SOUL POP,SOUL,HIP-HOP,POP,R&;B"
5762,5762,GOO GOO DOLLS,HERE IS GONE,92.0,18.0,20.0,ROCK
5763,5763,AVANT,MAKIN' GOOD LOVE,20.52,27.0,20.0,R&;B
5764,5764,YING YANG TWINS,SAY I YI YI,42.0,56.0,14.0,"DIRTY SOUTH,RAP"
5765,5765,P!NK,DON'T LET ME GET ME,76.5,8.0,21.0,"POP-ROCK,POP,ROCK"
5766,5766,SHAKIRA,UNDERNEATH YOUR CLOTHES,17.0,9.0,20.0,"POP-ROCK,ROCK"
