,Artist,Name,Genre,Unnamed: 0,Weekly_rank_avg,Peak_Position,Weeks_on_Chart
34,"BENNY BLANCO, HALSEY, KHALID",EASTSIDE,"R&;B,POP",0.005265603221310206,0.98944099378882,0.08163265306122448,0.5647058823529412
35,J. COLE,MIDDLE CHILD,"TRAP,EAST COAST,RAP",0.0054204739042899176,0.33900621118012425,0.030612244897959183,0.24705882352941175
36,"DADDY YANKEE, KATY PERRY",CON CALMA,"LATIN POP,DANCEHALL,POP,REGGAETON,EN ESPA\XC3\XB1OL,LATIN URBAN,LATIN MUSIC",0.00557534458726963,0.21128814474750207,0.21428571428571425,0.2235294117647059
37,"MUSTARD, MIGOS",PURE WATER,"ATLANTA,TRAP,WEST COAST,MOTOWN,RAP",0.005730215270249342,0.8959183673469387,0.22448979591836732,0.2352941176470588
38,ED SHEERAN,CROSS ME,"RAP,R&;B,UK,POP",0.005885085953229054,0.8437267080745342,0.336734693877551,0.03529411764705882
39,MEEK MILL,GOING BAD,"EAST COAST,CANADA,RAP",0.006039956636208765,0.5634510869565218,0.05102040816326531,0.3294117647058823
40,KHALID,BETTER,"ELECTRO-POP,POP,R&;B",0.006194827319188478,0.17047417058021513,0.07142857142857142,0.45882352941176474
41,"LADY GAGA, BRADLEY COOPER",SHALLOW,"POP COUNTRY,FOLK,MUSICALS,SCREEN,POP-ROCK,SOUNDTRACK,POP",0.00634969800216819,0.9155279503105591,0.0,0.43529411764705883
42,CARDI B,PRESS,"HARDCORE HIP-HOP,TRAP,HIP-HOP,RAP",0.006504568685147902,0.3443817052512705,0.1530612244897959,0.023529411764705882
43,DAN + SHAY,SPEECHLESS,COUNTRY,0.006659439368127613,0.16214285714285714,0.2346938775510204,0.2941176470588235
44,TRAVIS SCOTT,SICKO MODE,"HIP-HOP,MEMES,RAP,CANADA,TRAP",0.0068143100511073255,0.7254658385093168,0.0,0.5294117647058824
45,"TYLER, THE CREATOR",EARFQUAKE,"HIP-HOP,ATLANTA,ALTERNATIVE R&;B,EXPERIMENTAL,NEO SOUL,R&;B,RAP,NEO-PSYCHEDELIA,ALTERNATIVE,PSYCHEDELIC",0.006969180734087038,0.9413388543823327,0.12244897959183672,0.047058823529411764
46,A BOOGIE WIT DA HOODIE,LOOK BACK AT IT,"POP,RAP",0.007124051417066749,0.6409937888198758,0.26530612244897955,0.3176470588235294
47,NLE CHOPPA,SHOTTA FLOW,RAP,0.007278922100046461,0.8944099378881988,0.47959183673469385,0.09411764705882353
