,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
1856,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,10.869565217391305,4.0,20.0,2015-06-19,"January 24, 2015","Acoustic,Folk,Soul Pop,Pop",
1857,A$AP Rocky,Electric Body,56.333333333333336,80.0,2.0,2015-06-19,"May 26, 2015","Cloud Rap,East Coast,R&;B,Trap,Pop,Rap",ScHoolboy Q
1858,Jamie Foxx,You Changed Me,74.42857142857143,93.0,2.0,2015-06-19,"March 12, 2015",R&;B,Chris Brown
1859,Meghan Trainor,All About That Bass,88.0,1.0,47.0,2015-06-12,"June 30, 2014","Adult Contemporary,R&;B,Bubblegum Pop,Doo-Wop,Pop",
1860,Zac Brown Band,Homegrown,90.11111111111111,35.0,20.0,2015-06-12,"January 12, 2015",Country,
1861,Kelly Clarkson,Heartbeat Song,71.52380952380952,21.0,20.0,2015-06-12,"January 12, 2015",Pop,
1862,Ciara,I Bet,53.76190476190476,43.0,14.0,2015-06-12,"January 26, 2015",R&;B,
1863,Kendrick Lamar,King Kunta,38.57692307692308,58.0,11.0,2015-06-12,"March 15, 2015","Producer,Funk,Funk Rock,G-Funk,Rap,West Coast",
1864,Keith Urban,Raise 'Em Up,70.0,56.0,14.0,2015-06-12,"January 26, 2013",Country,Eric Church
1865,Sawyer Fredericks,Please,94.33333333333333,,,2015-06-05,,"Pop,The Voice,Rock",
1866,Nicki Minaj,Feeling Myself,60.611111111111114,39.0,20.0,2015-06-05,"May 18, 2015",Rap,Beyonce
1867,Hozier,Take Me To Church,18.84375,2.0,41.0,2015-06-05,"July 3, 2013","Blues,Gospel,Piano,Ireland,Singer-Songwriter,Indie,Folk Rock,Blues Rock,Alternative,Rock,Adult Alternative,Indie Rock,Adult Contemporary,Alternative Rock,Soul,LGBTQ+",
1868,"Chris Brown, Tyga",Ayo,87.1,21.0,20.0,2015-06-05,"January 6, 2015","R&;B,Rap",
1869,Meghan Linsey,Change My Mind,98.0,,,2015-06-05,,"Rock,The Voice,Pop",
1870,Eric Paslay,She Don't Love You,73.5,77.0,12.0,2015-06-05,"October 13, 2014",Country,
1871,Luke Bryan,Games,37.18181818181818,92.0,5.0,2015-06-05,"February 24, 2015",Country,
1872,Rae Sremmurd,Throw Sum Mo,82.0,30.0,20.0,2015-05-29,"December 9, 2014","Trap,Rap","Nicki Minaj, Young Thug"
1873,Sam Smith,I'm Not The Only One,28.34375,5.0,37.0,2015-05-29,"May 26, 2014","Piano,Adult Alternative,Adult Contemporary,Blue-Eyed Soul,Soul,Soul Pop,Ballad,Pop-Rock,UK,Pop",
1874,Tyler Farr,A Guy Walks Into A Bar,27.55,51.0,20.0,2015-05-29,"August 18, 2014",Country,
1875,Sheppard,Geronimo,44.5,53.0,21.0,2015-05-29,"February 28, 2014",Rock,
1876,Dierks Bentley,Say You Do,32.36363636363637,52.0,18.0,2015-05-29,"February 25, 2014",Country,
1877,Nate Ruess,Nothing Without Love,94.0,77.0,4.0,2015-05-29,"February 23, 2015","Rock,Pop",
1878,Nick Fradiani,Beautiful Life,56.5,,,2015-05-29,"May 12, 2015",Pop,
1879,Meghan Trainor,Lips Are Movin,36.523809523809526,4.0,29.0,2015-05-22,"October 21, 2014","Doo-Wop,Bubblegum Pop,Pop",
1880,Cole Swindell,Ain't Worth The Whiskey,37.892857142857146,43.0,19.0,2015-05-22,"November 3, 2014",Country,
1881,Tori Kelly,Nobody Love,13.379310344827585,60.0,11.0,2015-05-22,"February 8, 2015","Pop,R&;B",
1882,Rihanna,American Oxygen,81.15789473684211,78.0,4.0,2015-05-22,"April 5, 2015","R&;B,Pop",
1883,Drake,10 Bands,60.2,58.0,13.0,2015-05-22,"February 13, 2015","Trap,Canada,Rap",
1884,Fall Out Boy,Centuries,92.0,10.0,34.0,2015-05-15,"September 9, 2014","Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",
1885,Drake,Legend,87.0,52.0,12.0,2015-05-15,"February 13, 2015","Canada,Rap",
1886,Usher,I Don't Mind,76.33333333333333,11.0,23.0,2015-05-08,"November 21, 2014","R&;B,Rap",Juicy J
1887,Vance Joy,Riptide,88.0,30.0,44.0,2015-05-08,"March 1, 2013","Australia,Singer-Songwriter,Contemporary Folk,Adult Alternative,Adult Contemporary,Folk,Alternative,Alternative Rock,Indie Rock,Pop,Folk Rock,Indie Pop,Rock",
1888,Lee Brice,Drinking Class,40.714285714285715,53.0,22.0,2015-05-08,"September 8, 2014","Country,Rock",
1889,Calvin Harris,Outside,40.294117647058826,29.0,20.0,2015-05-08,"October 20, 2014","Electronic,Dance,UK,Pop",Ellie Goulding
1890,Miranda Lambert,Little Red Wagon,72.0,55.0,11.0,2015-05-08,"June 3, 2014",Country,
1891,"Kid Ink, Tyga, Wale, YG, Rich Homie Quan",Ride Out,51.76470588235294,70.0,3.0,2015-05-08,"February 16, 2015",Rap,
1892,Iggy Azalea,Trouble,18.333333333333332,67.0,5.0,2015-05-08,"November 24, 2014","Aussie Hip-Hop,Australia,Soul Pop,Doo-Wop,R&;B,Pop,Rap",Jennifer Hudson
1893,Nicki Minaj,Only,67.75,12.0,25.0,2015-05-01,"October 28, 2014","DMV,Canada,East Coast,Trap,Rap","Drake, Lil Wayne, Chris Brown"
1894,Sam Smith,Stay With Me,47.40625,2.0,54.0,2015-05-01,"May 26, 2014","Piano,Adult Alternative,Adult Contemporary,Soul Pop,Blue-Eyed Soul,Ballad,Soul,UK,Pop",
1895,Chris Young,Lonely Eyes,57.5,50.0,18.0,2015-05-01,"August 25, 2014",Country,
1896,LunchMoney Lewis,Bills,24.72,79.0,6.0,2015-05-01,"February 5, 2015","Rap,Pop",
1897,Big Sean,I Don't fuck With You,90.0,11.0,29.0,2015-04-24,"September 12, 2014","Hyphy,West Coast,Producer,Rap",E
1898,Beyonce,7/11,96.0,13.0,20.0,2015-04-24,"November 25, 2014","Pop,R&;B",
1899,Darius Rucker,Homegrown Honey,51.0,53.0,20.0,2015-04-24,"August 25, 2014",Country,
1900,"Wiz Khalifa, Iggy Azalea",Go Hard Or Go Home,64.2,86.0,2.0,2015-04-24,"February 6, 2015",Rap,
1901,Fall Out Boy,Immortals,60.65,72.0,8.0,2015-04-24,"October 14, 2014","Disney,Electronic Rock,Electro-Pop,Punk Rock,Pop-Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Pop,Rock",
1902,Ludacris,Good Lovin,57.78947368421053,91.0,2.0,2015-04-24,"December 15, 2014","R&;B,Rap",Miguel
1903,Who Is Fancy,Goodbye,62.85,,,2015-04-24,"February 10, 2015",Pop,
1904,Maroon 5,Animals,79.66666666666667,3.0,33.0,2015-04-17,"August 25, 2014","Adult Contemporary,Adult Alternative,Pop-Rock,Pop",
1905,One Direction,Night Changes,95.2,31.0,20.0,2015-04-17,"November 14, 2014","Boy Band,UK,Pop",
1906,Ne,She Knows,95.0,19.0,20.0,2015-04-17,"September 9, 2014","R&;B,Rap",
1907,Imagine Dragons,I Bet My Life,89.0,28.0,22.0,2015-04-17,"October 27, 2014","Indie Pop,Indie,Folk,Folk Rock,Adult Alternative,Indie Rock,Pop-Rock,Alternative Pop,Alternative,Pop,Alternative Rock,Rock",
1908,O.T. Genasis,CoCo,44.55,20.0,20.0,2015-04-17,"October 27, 2014","Trap,Memes,Rap",
1909,J. Cole,Apparently,72.0,58.0,16.0,2015-04-17,"December 9, 2014","Producer,Rap",
1910,Luke Bryan,I See You,65.71428571428571,41.0,19.0,2015-04-17,"November 3, 2014",Country,
1911,Breaking Benjamin,Failure,43.5,,,2015-04-10,"March 23, 2015","Post-Grunge,Hard Rock,Alternative Rock,Rock",
1912,Blake Shelton,Lonely Tonight,94.0,47.0,17.0,2015-04-10,"November 17, 2014",Country,Ashley Monroe
1913,Action Bronson,Baby Blue,39.6,,,2015-04-10,"March 2, 2015",Rap,Chance The Rapper
1914,Jason Aldean,Just Gettin' Started,44.25,54.0,18.0,2015-04-10,"November 10, 2014","Country,Rock",
1915,Thomas Rhett,Make Me Wanna,33.95,43.0,20.0,2015-04-10,"October 29, 2013",Country,
1916,Sia,Chandelier,59.48717948717949,8.0,46.0,2015-04-03,"March 17, 2014","Adult Contemporary,Ballad,Reggae,R&;B,Electro-Pop,Pop",
1917,Rae Sremmurd,No Type,58.95,16.0,26.0,2015-04-03,"September 15, 2014",Rap,
1918,Kendrick Lamar,The Blacker The Berry,92.8,,,2015-04-03,"February 9, 2015","Conscious Hip-Hop,Politics,Producer,West Coast,Rap",
1919,Brett Eldredge,Mean To Me,58.388888888888886,53.0,20.0,2015-04-03,"July 14, 2014",Country,
1920,twenty one pilots,Fairly Local,74.44444444444444,,,2015-04-03,"March 17, 2015","Alternative,Electronic,Electro-Pop,Dubstep,Rap,Pop",
1921,Selena Gomez,The Heart Wants What It Wants,43.583333333333336,6.0,20.0,2015-04-03,"November 6, 2014","R&;B,Pop",
1922,Empire Cast,You're So Beautiful,65.4,47.0,4.0,2015-04-03,"February 25, 2015","Rap,TV,Screen,R&;B","Jussie Smollett, Yazz"
1923,Kendrick Lamar,Wesley's Theory,66.6842105263158,,,2015-04-03,"March 23, 2015","Jazz-Funk,Jazz Fusion,Soul,P-Funk,Gangsta Rap,Conscious Hip-Hop,Producer,Funk,G-Funk,West Coast,Rap","George Clinton, Thundercat"
