,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
929,30,Pop Smoke,Dior,49,30,2,2020-03-07
930,31,Chris Brown Featuring Drake,No Guidance,31,5,38,2020-03-07
931,32,Jonas Brothers,What A Man Gotta Do,33,16,6,2020-03-07
932,33,Doja Cat Featuring Nicki Minaj,Say So,51,33,8,2020-03-07
933,34,Sam Hunt,Kinfolks,34,34,20,2020-03-07
934,35,Shawn Mendes & Camila Cabello,Senorita,32,1,36,2020-03-07
935,36,Billie Eilish,Bad Guy,30,1,48,2020-03-07
936,37,Eminem Featuring Juice WRLD,Godzilla,36,3,6,2020-03-07
937,38,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),40,36,14,2020-03-07
938,39,Kane Brown,Homesick,43,39,15,2020-03-07
939,40,Travis Scott,HIGHEST IN THE ROOM,35,1,21,2020-03-07
940,41,SHAED,Trampoline,37,13,39,2020-03-07
941,42,Old Dominion,One Man Band,38,20,27,2020-03-07
942,43,Jonas Brothers,Sucker,41,1,47,2020-03-07
943,44,Ed Sheeran & Justin Bieber,I Don't Care,39,2,39,2020-03-07
944,45,Gabby Barrett Featuring Charlie Puth,I Hope,44,44,9,2020-03-07
945,46,Lil Baby,Sum 2 Prove,50,16,7,2020-03-07
946,47,YoungBoy Never Broke Again,Red Eye,0,47,1,2020-03-07
947,48,Jonas Brothers,Only Human,42,18,36,2020-03-07
948,49,Jimmie Allen,Make Me Want To,53,49,9,2020-03-07
949,50,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,23,23,2,2020-03-07
950,51,Lil Mosey,Blueberry Faygo,54,51,3,2020-03-07
951,52,H.E.R. Featuring YG,Slide,55,52,10,2020-03-07
952,53,Karol G & Nicki Minaj,Tusa,47,42,13,2020-03-07
953,54,Billie Eilish,No Time To Die,16,16,2,2020-03-07
954,55,Doja Cat & Tyga,Juicy,52,41,18,2020-03-07
955,56,Russ & BIA,BEST ON EARTH,57,52,12,2020-03-07
956,57,Rod Wave,Heart On Ice,61,54,16,2020-03-07
957,58,YoungBoy Never Broke Again,Fine By Time,0,58,1,2020-03-07
958,59,YoungBoy Never Broke Again,Bad Bad,0,59,1,2020-03-07
959,60,YoungBoy Never Broke Again,Knocked Off,0,60,1,2020-03-07
960,61,Sam Smith,To Die For,46,46,2,2020-03-07
961,62,Jason Aldean,We Back,69,62,13,2020-03-07
962,63,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,60,60,2,2020-03-07
963,64,Luke Bryan,What She Wants Tonight,64,64,10,2020-03-07
964,65,Blake Shelton Duet With Gwen Stefani,Nobody But You,63,43,7,2020-03-07
965,66,YNW Melly & Juice WRLD,Suicidal,56,34,14,2020-03-07
966,67,Morgan Wallen,Chasin' You,71,67,5,2020-03-07
967,68,Riley Green,I Wish Grandpas Never Died,67,66,9,2020-03-07
968,69,JACKBOYS Featuring Young Thug,Out West,68,38,9,2020-03-07
969,70,Ingrid Andress,More Hearts Than Mine,70,67,9,2020-03-07
970,71,Ashe Featuring Niall Horan,Moral Of The Story,0,71,1,2020-03-07
971,72,Jake Owen,Homemade,74,72,5,2020-03-07
972,73,Jordan Davis,Slow Dance In A Parking Lot,72,72,8,2020-03-07
973,74,Justin Bieber Featuring Post Malone & Clever,Forever,24,24,2,2020-03-07
974,75,Carly Pearce & Lee Brice,I Hope You're Happy Now,65,65,8,2020-03-07
975,76,Khalid x Disclosure,Know Your Worth,78,57,3,2020-03-07
976,77,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,84,77,3,2020-03-07
977,78,Garth Brooks & Blake Shelton,Dive Bar,92,78,5,2020-03-07
978,79,YoungBoy Never Broke Again,Make No Sense,82,57,16,2020-03-07
979,80,YoungBoy Never Broke Again,RIP Lil Phat,0,80,1,2020-03-07
980,81,Brett Young,Catch,87,81,5,2020-03-07
981,82,Lewis Capaldi,Before You Go,76,71,5,2020-03-07
982,83,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,75,28,13,2020-03-07
983,84,BTS,My Time,0,84,1,2020-03-07
984,85,YoungBoy Never Broke Again,Long RD,0,85,1,2020-03-07
985,86,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,59,49,12,2020-03-07
986,87,BTS,Filter,0,87,1,2020-03-07
987,88,Jhene Aiko,P*$$y Fairy (OTW),99,55,6,2020-03-07
988,89,YoungBoy Never Broke Again,Bat Man,0,89,1,2020-03-07
989,90,Kelsea Ballerini,homecoming queen?,89,76,12,2020-03-07
990,91,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,83,73,8,2020-03-07
991,92,Taylor Swift,The Man,0,23,4,2020-03-07
992,93,Pop Smoke Featuring Quavo,Shake The Room,0,93,1,2020-03-07
993,94,Selena Gomez,Rare,90,30,7,2020-03-07
994,95,Summer Walker & Usher,Come Thru,94,42,11,2020-03-07
995,96,Dustin Lynch,Ridin' Roads,85,47,17,2020-03-07
996,97,A Boogie Wit da Hoodie,Me And My Guitar,58,58,2,2020-03-07
997,98,Selena Gomez,Feel Me,0,98,1,2020-03-07
998,99,Bad Bunny,Vete,96,33,13,2020-03-07
999,100,BrockHampton,SUGAR,93,66,8,2020-03-07
1000,1,Roddy Ricch,The Box,1,1,13,2020-03-14
1001,2,Future Featuring Drake,Life Is Good,2,2,8,2020-03-14
1002,3,Dua Lipa,Don't Start Now,5,3,18,2020-03-14
1003,4,Post Malone,Circles,3,1,27,2020-03-14
1004,5,Lady Gaga,Stupid Love,0,5,1,2020-03-14
1005,6,Arizona Zervas,Roxanne,6,4,18,2020-03-14
1006,7,The Weeknd,Blinding Lights,8,7,14,2020-03-14
1007,8,Tones And I,Dance Monkey,7,4,22,2020-03-14
1008,9,Maroon 5,Memories,9,2,24,2020-03-14
1009,10,Justin Bieber Featuring Quavo,Intentions,11,9,4,2020-03-14
1010,11,Lewis Capaldi,Someone You Loved,10,1,43,2020-03-14
1011,12,Billie Eilish,Everything I Wanted,12,8,17,2020-03-14
1012,13,blackbear,Hot Girl Bummer,14,13,25,2020-03-14
1013,14,Harry Styles,Adore You,15,14,13,2020-03-14
1014,15,Lil Baby,Woah,24,15,17,2020-03-14
1015,16,Doja Cat Featuring Nicki Minaj,Say So,33,16,9,2020-03-14
1016,17,The Weeknd,Heartless,13,1,15,2020-03-14
1017,18,Lil Baby & Gunna,Heatin Up,0,18,1,2020-03-14
1018,19,Maren Morris,The Bones,19,18,24,2020-03-14
1019,20,Dan + Shay & Justin Bieber,"10,000 Hours",16,4,22,2020-03-14
1020,21,Lil Uzi Vert,That Way,0,21,1,2020-03-14
1021,22,Mustard & Roddy Ricch,Ballin',17,11,33,2020-03-14
1022,23,Lil Baby Featuring Lil Uzi Vert,Commercial,0,23,1,2020-03-14
1023,24,DaBaby,BOP,18,11,23,2020-03-14
1024,25,Camila Cabello Featuring DaBaby,My Oh My,22,22,13,2020-03-14
1025,26,Lil Baby,Sum 2 Prove,46,16,8,2020-03-14
1026,27,Selena Gomez,Lose You To Love Me,21,1,20,2020-03-14
1027,28,Lil Baby Featuring Future,Live Off My Closet,0,28,1,2020-03-14
1028,29,Halsey,You Should Be Sad,26,26,8,2020-03-14
1029,30,Roddy Ricch Featuring Mustard,High Fashion,25,20,10,2020-03-14
1030,31,Lil Baby,Emotionally Scarred,0,31,1,2020-03-14
1031,32,Bad Bunny,Si Veo A Tu Mama,0,32,1,2020-03-14
1032,33,Bad Bunny,La Dificil,0,33,1,2020-03-14
1033,34,Trevor Daniel,Falling,29,25,16,2020-03-14
1034,35,Lizzo,Good As Hell,27,3,28,2020-03-14
1035,36,Bad Bunny,Vete,99,33,14,2020-03-14
1036,37,Chris Brown Featuring Drake,No Guidance,31,5,39,2020-03-14
1037,38,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,0,38,1,2020-03-14
1038,39,Kane Brown,Homesick,39,39,16,2020-03-14
1039,40,Justin Bieber,Yummy,23,2,9,2020-03-14
1040,41,Jonas Brothers,What A Man Gotta Do,32,16,7,2020-03-14
1041,42,Eminem Featuring Juice WRLD,Godzilla,37,3,7,2020-03-14
1042,43,Shawn Mendes & Camila Cabello,Senorita,35,1,37,2020-03-14
1043,44,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),38,36,15,2020-03-14
1044,45,Billie Eilish,Bad Guy,36,1,49,2020-03-14
1045,46,Sam Hunt,Kinfolks,34,34,21,2020-03-14
1046,47,Pop Smoke,Dior,30,30,3,2020-03-14
1047,48,Lil Baby & 42 Dugg,Grace,0,48,1,2020-03-14
1048,49,Bad Bunny & Sech,Ignorantes,0,49,2,2020-03-14
1049,50,Old Dominion,One Man Band,42,20,28,2020-03-14
1050,51,Gabby Barrett Featuring Charlie Puth,I Hope,45,44,10,2020-03-14
1051,52,Lil Mosey,Blueberry Faygo,51,51,4,2020-03-14
1052,53,Bad Bunny X Daddy Yankee,La Santa,0,53,1,2020-03-14
1053,54,Lil Baby,Get Ugly,0,54,1,2020-03-14
1054,55,Rod Wave,Heart On Ice,57,54,17,2020-03-14
1055,56,H.E.R. Featuring YG,Slide,52,52,11,2020-03-14
1056,57,Doja Cat & Tyga,Juicy,55,41,19,2020-03-14
1057,58,Lil Baby & Moneybagg Yo,No Sucker,0,58,1,2020-03-14
1058,59,Lil Baby,How,0,59,1,2020-03-14
1059,60,Russ & BIA,BEST ON EARTH,56,52,13,2020-03-14
1060,61,SZA X Justin Timberlake,The Other Side,0,61,1,2020-03-14
1061,62,Karol G & Nicki Minaj,Tusa,53,42,14,2020-03-14
1062,63,Bad Bunny,Pero Ya No,0,63,1,2020-03-14
1063,64,Lil Baby Featuring Lil Wayne,Forever,0,64,1,2020-03-14
1064,65,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,63,60,3,2020-03-14
1065,66,The Weeknd,After Hours,20,20,3,2020-03-14
1066,67,Blake Shelton Duet With Gwen Stefani,Nobody But You,65,43,8,2020-03-14
1067,68,BTS,ON,4,4,2,2020-03-14
1068,69,Bad Bunny,Yo Perreo Sola,0,69,1,2020-03-14
1069,70,Jake Owen,Homemade,72,70,6,2020-03-14
1070,71,Morgan Wallen,Chasin' You,67,67,6,2020-03-14
1071,72,Luke Bryan,What She Wants Tonight,64,64,11,2020-03-14
1072,73,YoungBoy Never Broke Again,Lil Top,28,28,2,2020-03-14
1073,74,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,77,74,4,2020-03-14
1074,75,Jordan Davis,Slow Dance In A Parking Lot,73,72,9,2020-03-14
1075,76,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,50,23,3,2020-03-14
1076,77,Ingrid Andress,More Hearts Than Mine,70,67,10,2020-03-14
1077,78,Lil Baby,Same Thing,0,78,1,2020-03-14
1078,79,Jason Aldean,We Back,62,62,14,2020-03-14
1079,80,Jimmie Allen,Make Me Want To,49,49,10,2020-03-14
1080,81,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,0,81,1,2020-03-14
1081,82,Ashe Featuring Niall Horan,Moral Of The Story,71,71,2,2020-03-14
1082,83,Riley Green,I Wish Grandpas Never Died,68,66,10,2020-03-14
1083,84,Sam Smith,To Die For,61,46,3,2020-03-14
1084,85,Taylor Swift,The Man,92,23,5,2020-03-14
1085,86,Khalid x Disclosure,Know Your Worth,76,57,4,2020-03-14
1086,87,Brett Young,Catch,81,81,6,2020-03-14
1087,88,Carly Pearce & Lee Brice,I Hope You're Happy Now,75,65,9,2020-03-14
1088,89,Bad Bunny & Yaviah,Bichiyal,0,89,1,2020-03-14
1089,90,JACKBOYS Featuring Young Thug,Out West,69,38,10,2020-03-14
1090,91,Lil Baby & Young Thug,We Should,0,91,1,2020-03-14
1091,92,YoungBoy Never Broke Again,Make No Sense,79,57,17,2020-03-14
1092,93,YNW Melly & Juice WRLD,Suicidal,66,34,15,2020-03-14
1093,94,Bad Bunny,Solia,0,94,1,2020-03-14
1094,95,Lewis Capaldi,Before You Go,82,71,6,2020-03-14
1095,96,Billie Eilish,No Time To Die,54,16,3,2020-03-14
1096,97,Bad Bunny X Anuel AA,Esta Cabron Ser Yo,0,97,1,2020-03-14
1097,98,Surfaces,Sunday Best,0,98,1,2020-03-14
1098,99,Lil Baby,Can't Explain,0,99,1,2020-03-14
1099,100,Jhene Aiko,P*$$y Fairy (OTW),88,55,7,2020-03-14
1100,1,Roddy Ricch,The Box,1,1,14,2020-03-21
1101,2,Dua Lipa,Don't Start Now,3,2,19,2020-03-21
1102,3,Future Featuring Drake,Life Is Good,2,2,9,2020-03-21
1103,4,The Weeknd,Blinding Lights,7,4,15,2020-03-21
1104,5,Post Malone,Circles,4,1,28,2020-03-21
1105,6,Lil Uzi Vert,Baby Pluto,0,6,1,2020-03-21
1106,7,Arizona Zervas,Roxanne,6,4,19,2020-03-21
1107,8,Lil Uzi Vert,Lo Mein,0,8,1,2020-03-21
1108,9,Lil Uzi Vert,Silly Watch,0,9,1,2020-03-21
1109,10,Justin Bieber Featuring Quavo,Intentions,10,9,5,2020-03-21
1110,11,Lil Uzi Vert,P2,0,11,1,2020-03-21
1111,12,Tones And I,Dance Monkey,8,4,23,2020-03-21
1112,13,Maroon 5,Memories,9,2,25,2020-03-21
1113,14,Billie Eilish,Everything I Wanted,12,8,18,2020-03-21
1114,15,Lewis Capaldi,Someone You Loved,11,1,44,2020-03-21
1115,16,Harry Styles,Adore You,14,14,14,2020-03-21
1116,17,blackbear,Hot Girl Bummer,13,13,26,2020-03-21
1117,18,Demi Lovato,I Love Me,0,18,1,2020-03-21
1118,19,Doja Cat Featuring Nicki Minaj,Say So,16,16,10,2020-03-21
1119,20,Lil Uzi Vert,That Way,21,20,2,2020-03-21
1120,21,The Weeknd,Heartless,17,1,16,2020-03-21
1121,22,Lil Uzi Vert,Homecoming,0,22,1,2020-03-21
1122,23,Maren Morris,The Bones,19,18,25,2020-03-21
1123,24,Jhene Aiko Featuring H.E.R.,B.S.,0,24,1,2020-03-21
1124,25,Lil Uzi Vert,Prices,0,25,1,2020-03-21
1125,26,Camila Cabello Featuring DaBaby,My Oh My,25,22,14,2020-03-21
1126,27,Dan + Shay & Justin Bieber,"10,000 Hours",20,4,23,2020-03-21
1127,28,Lil Uzi Vert,POP,0,28,1,2020-03-21
1128,29,Mustard & Roddy Ricch,Ballin',22,11,34,2020-03-21
1129,30,Lady Gaga,Stupid Love,5,5,2,2020-03-21
1130,31,Lil Baby,Woah,15,15,18,2020-03-21
1131,32,Eminem Featuring Juice WRLD,Godzilla,42,3,8,2020-03-21
1132,33,Lil Uzi Vert,Bigger Than Life,0,33,1,2020-03-21
1133,34,Lil Uzi Vert,Celebration Station,0,34,1,2020-03-21
1134,35,DaBaby,BOP,24,11,24,2020-03-21
1135,36,Lil Uzi Vert,You Better Move,0,36,1,2020-03-21
1136,37,Lil Uzi Vert,I'm Sorry,0,37,1,2020-03-21
1137,38,Selena Gomez,Lose You To Love Me,27,1,21,2020-03-21
1138,39,Lil Uzi Vert,Venetia,0,39,1,2020-03-21
1139,40,Jhene Aiko,P*$$y Fairy (OTW),100,40,8,2020-03-21
1140,41,Halsey,You Should Be Sad,29,26,9,2020-03-21
1141,42,Trevor Daniel,Falling,34,25,17,2020-03-21
1142,43,Roddy Ricch Featuring Mustard,High Fashion,30,20,11,2020-03-21
1143,44,Kane Brown,Homesick,39,39,17,2020-03-21
1144,45,Lil Uzi Vert,Chrome Heart Tags,0,45,1,2020-03-21
1145,46,Chris Brown Featuring Drake,No Guidance,37,5,40,2020-03-21
1146,47,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),44,36,16,2020-03-21
1147,48,Lil Uzi Vert,Futsal Shuffle 2020,0,5,10,2020-03-21
1148,49,Lizzo,Good As Hell,35,3,29,2020-03-21
1149,50,Gabby Barrett Featuring Charlie Puth,I Hope,51,44,11,2020-03-21
1150,51,Lil Uzi Vert,Bust Me,0,51,1,2020-03-21
1151,52,Lil Baby,Sum 2 Prove,26,16,9,2020-03-21
1152,53,Lil Mosey,Blueberry Faygo,52,51,5,2020-03-21
1153,54,Bad Bunny,La Dificil,33,33,2,2020-03-21
1154,55,Pop Smoke,Dior,47,30,4,2020-03-21
1155,56,Bad Bunny,Si Veo A Tu Mama,32,32,2,2020-03-21
1156,57,Lil Baby & Gunna,Heatin Up,18,18,2,2020-03-21
1157,58,Rod Wave,Heart On Ice,55,54,18,2020-03-21
1158,59,Megan Thee Stallion,B.I.T.C.H.,0,31,5,2020-03-21
1159,60,Jake Owen,Homemade,70,60,7,2020-03-21
1160,61,H.E.R. Featuring YG,Slide,56,52,12,2020-03-21
1161,62,Russ & BIA,BEST ON EARTH,60,52,14,2020-03-21
1162,63,Jonas Brothers,What A Man Gotta Do,41,16,8,2020-03-21
1163,64,Lil Baby,Emotionally Scarred,31,31,2,2020-03-21
1164,65,Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H.O.E.),0,65,1,2020-03-21
1165,66,Bad Bunny,Vete,36,33,15,2020-03-21
1166,67,Justin Bieber,Yummy,40,2,10,2020-03-21
1167,68,Lil Baby Featuring Lil Uzi Vert,Commercial,23,23,2,2020-03-21
1168,69,Blake Shelton Duet With Gwen Stefani,Nobody But You,67,43,9,2020-03-21
1169,70,Morgan Wallen,Chasin' You,71,67,7,2020-03-21
1170,71,Doja Cat & Tyga,Juicy,57,41,20,2020-03-21
1171,72,Lil Uzi Vert,Secure The Bag,0,72,1,2020-03-21
1172,73,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,74,73,5,2020-03-21
1173,74,Megan Thee Stallion,Captain Hook,0,74,1,2020-03-21
1174,75,Karol G & Nicki Minaj,Tusa,62,42,15,2020-03-21
1175,76,Lil Uzi Vert Featuring Syd,Urgency,0,76,1,2020-03-21
1176,77,Jordan Davis,Slow Dance In A Parking Lot,75,72,10,2020-03-21
1177,78,Luke Bryan,What She Wants Tonight,72,64,12,2020-03-21
1178,79,Gunna,SkyBox,0,79,1,2020-03-21
1179,80,SZA X Justin Timberlake,The Other Side,61,61,2,2020-03-21
1180,81,Jason Aldean,We Back,79,62,15,2020-03-21
1181,82,Riley Green,I Wish Grandpas Never Died,83,66,11,2020-03-21
1182,83,Bad Bunny & Sech,Ignorantes,49,49,3,2020-03-21
1183,84,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,81,81,2,2020-03-21
1184,85,Ingrid Andress,More Hearts Than Mine,77,67,11,2020-03-21
1185,86,Brett Young,Catch,87,81,7,2020-03-21
1186,87,Jhene Aiko,Triggered,0,51,4,2020-03-21
1187,88,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,38,38,2,2020-03-21
1188,89,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,0,89,1,2020-03-21
1189,90,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,65,60,4,2020-03-21
1190,91,Carly Pearce & Lee Brice,I Hope You're Happy Now,88,65,10,2020-03-21
1191,92,Bad Bunny X Daddy Yankee,La Santa,53,53,2,2020-03-21
1192,93,Jhene Aiko Featuring Big Sean,None Of Your Concern,0,55,3,2020-03-21
1193,94,Khalid x Disclosure,Know Your Worth,86,57,5,2020-03-21
1194,95,BrockHampton,SUGAR,0,66,9,2020-03-21
1195,96,Sam Smith,To Die For,84,46,4,2020-03-21
1196,97,Bad Bunny,Yo Perreo Sola,69,69,2,2020-03-21
1197,98,Lil Baby & 42 Dugg,Grace,48,48,2,2020-03-21
1198,99,Surfaces,Sunday Best,98,98,2,2020-03-21
1199,100,The Weeknd,After Hours,66,20,4,2020-03-21
1200,1,Roddy Ricch,The Box,1,1,15,2020-03-28
1201,2,The Weeknd,Blinding Lights,4,2,16,2020-03-28
1202,3,Dua Lipa,Don't Start Now,2,2,20,2020-03-28
1203,4,Future Featuring Drake,Life Is Good,3,2,10,2020-03-28
1204,5,Post Malone,Circles,5,1,29,2020-03-28
1205,6,Arizona Zervas,Roxanne,7,4,20,2020-03-28
1206,7,Harry Styles,Adore You,16,7,15,2020-03-28
1207,8,Justin Bieber Featuring Quavo,Intentions,10,8,6,2020-03-28
1208,9,Lewis Capaldi,Someone You Loved,15,1,45,2020-03-28
1209,10,Billie Eilish,Everything I Wanted,14,8,19,2020-03-28
1210,11,blackbear,Hot Girl Bummer,17,11,27,2020-03-28
1211,12,Maroon 5,Memories,13,2,26,2020-03-28
1212,13,Lil Uzi Vert,Myron,0,13,1,2020-03-28
1213,14,Doja Cat Featuring Nicki Minaj,Say So,19,14,11,2020-03-28
1214,15,Tones And I,Dance Monkey,12,4,24,2020-03-28
1215,16,The Weeknd,Heartless,21,1,17,2020-03-28
1216,17,Maren Morris,The Bones,23,17,26,2020-03-28
1217,18,Camila Cabello Featuring DaBaby,My Oh My,26,18,15,2020-03-28
1218,19,Lil Uzi Vert Featuring Chief Keef,Bean (Kobe),0,19,1,2020-03-28
1219,20,YNW Melly & Juice WRLD,Suicidal,0,20,16,2020-03-28
1220,21,Mustard & Roddy Ricch,Ballin',29,11,35,2020-03-28
1221,22,Dan + Shay & Justin Bieber,"10,000 Hours",27,4,24,2020-03-28
1222,23,Eminem Featuring Juice WRLD,Godzilla,32,3,9,2020-03-28
1223,24,DaBaby,BOP,35,11,25,2020-03-28
1224,25,Lady Gaga,Stupid Love,30,5,3,2020-03-28
1225,26,Lil Uzi Vert & 21 Savage,Yessirskiii,0,26,1,2020-03-28
1226,27,Lil Uzi Vert,Baby Pluto,6,6,2,2020-03-28
1227,28,Lil Baby,Woah,31,15,19,2020-03-28
1228,29,Trevor Daniel,Falling,42,25,18,2020-03-28
1229,30,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),47,30,17,2020-03-28
1230,31,Selena Gomez,Lose You To Love Me,38,1,22,2020-03-28
1231,32,Chris Brown Featuring Drake,No Guidance,46,5,41,2020-03-28
1232,33,Roddy Ricch Featuring Mustard,High Fashion,43,20,12,2020-03-28
1233,34,Halsey,You Should Be Sad,41,26,10,2020-03-28
1234,35,Kane Brown,Homesick,44,35,18,2020-03-28
1235,36,Gabby Barrett Featuring Charlie Puth,I Hope,50,36,12,2020-03-28
1236,37,Lil Uzi Vert,P2,11,11,2,2020-03-28
1237,38,Lil Mosey,Blueberry Faygo,53,38,6,2020-03-28
1238,39,Jake Owen,Homemade,60,39,8,2020-03-28
1239,40,Rod Wave,Heart On Ice,58,40,19,2020-03-28
1240,41,Lil Uzi Vert,That Way,20,20,3,2020-03-28
1241,42,Lil Uzi Vert,Lo Mein,8,8,2,2020-03-28
1242,43,Demi Lovato,I Love Me,18,18,2,2020-03-28
1243,44,Lizzo,Good As Hell,49,3,30,2020-03-28
1244,45,Lil Uzi Vert,Lotus,0,45,1,2020-03-28
1245,46,Russ & BIA,BEST ON EARTH,62,46,15,2020-03-28
1246,47,H.E.R. Featuring YG,Slide,61,47,13,2020-03-28
1247,48,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,73,48,6,2020-03-28
1248,49,Luke Bryan,What She Wants Tonight,78,49,13,2020-03-28
1249,50,Pop Smoke,Dior,55,30,5,2020-03-28
1250,51,Lil Baby,Sum 2 Prove,52,16,10,2020-03-28
1251,52,Lil Uzi Vert,Silly Watch,9,9,2,2020-03-28
1252,53,Blake Shelton Duet With Gwen Stefani,Nobody But You,69,43,10,2020-03-28
1253,54,Lil Uzi Vert Featuring Future,Wassup,0,54,1,2020-03-28
1254,55,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,89,55,2,2020-03-28
1255,56,Ingrid Andress,More Hearts Than Mine,85,56,12,2020-03-28
1256,57,Jhene Aiko Featuring H.E.R.,B.S.,24,24,2,2020-03-28
1257,58,Morgan Wallen,Chasin' You,70,58,8,2020-03-28
1258,59,Jordan Davis,Slow Dance In A Parking Lot,77,59,11,2020-03-28
1259,60,Lil Uzi Vert Featuring Young Thug & Gunna,Strawberry Peels,0,60,1,2020-03-28
1260,61,Jhene Aiko,P*$$y Fairy (OTW),40,40,9,2020-03-28
1261,62,Lil Uzi Vert,Moon Relate,0,62,1,2020-03-28
1262,63,Jonas Brothers,What A Man Gotta Do,63,16,9,2020-03-28
1263,64,Karol G & Nicki Minaj,Tusa,75,42,16,2020-03-28
1264,65,Brett Young,Catch,86,65,8,2020-03-28
1265,66,Lil Uzi Vert,I Can Show You,0,66,1,2020-03-28
1266,67,Jason Aldean,We Back,81,62,16,2020-03-28
1267,68,Lil Uzi Vert,Trap This Way (This Way),0,68,1,2020-03-28
1268,69,Riley Green,I Wish Grandpas Never Died,82,66,12,2020-03-28
1269,70,Bad Bunny,Si Veo A Tu Mama,56,32,3,2020-03-28
1270,71,Powfu Featuring beabadoobee,Death Bed,0,71,1,2020-03-28
1271,72,Lil Uzi Vert Featuring NAV,Leaders,0,72,1,2020-03-28
1272,73,Lil Baby & Gunna,Heatin Up,57,18,3,2020-03-28
1273,74,Surfaces,Sunday Best,99,74,3,2020-03-28
1274,75,Lil Baby & 42 Dugg,Grace,98,48,3,2020-03-28
1275,76,Lil Uzi Vert Featuring Lil Durk,No Auto,0,76,1,2020-03-28
1276,77,SZA X Justin Timberlake,The Other Side,80,61,3,2020-03-28
1277,78,Justin Bieber,Yummy,67,2,11,2020-03-28
1278,79,Megan Thee Stallion,B.I.T.C.H.,59,31,6,2020-03-28
1279,80,Bad Bunny,La Dificil,54,33,3,2020-03-28
1280,81,Carly Pearce & Lee Brice,I Hope You're Happy Now,91,65,11,2020-03-28
1281,82,Lil Uzi Vert,Homecoming,22,22,2,2020-03-28
1282,83,Lil Uzi Vert,Come This Way,0,83,1,2020-03-28
1283,84,Sam Smith,To Die For,96,46,5,2020-03-28
1284,85,Lil Baby,Emotionally Scarred,64,31,3,2020-03-28
1285,86,Luke Combs Featuring Eric Church,Does To Me,0,86,1,2020-03-28
1286,87,Lil Uzi Vert Featuring Young Thug,Got The Guap,0,87,1,2020-03-28
1287,88,BENEE Featuring Gus Dapperton,Supalonely,0,88,1,2020-03-28
1288,89,Lil Uzi Vert Featuring Young Nudy,Money Spread,0,89,1,2020-03-28
1289,90,Don Toliver,Cardigan,0,90,1,2020-03-28
1290,91,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,0,91,1,2020-03-28
1291,92,Bad Bunny,Vete,66,33,16,2020-03-28
1292,93,Khalid x Disclosure,Know Your Worth,94,57,6,2020-03-28
1293,94,Lil Uzi Vert,Futsal Shuffle 2020,48,5,11,2020-03-28
1294,95,Lil Uzi Vert,Prices,25,25,2,2020-03-28
1295,96,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,90,60,5,2020-03-28
1296,97,Lewis Capaldi,Before You Go,0,71,7,2020-03-28
1297,98,Megan Thee Stallion,Savage,0,98,1,2020-03-28
1298,99,Summer Walker & Usher,Come Thru,0,42,12,2020-03-28
1299,100,YoungBoy Never Broke Again,Make No Sense,0,57,18,2020-03-28
1300,1,The Weeknd,Blinding Lights,2,1,17,2020-04-04
1301,2,Roddy Ricch,The Box,1,1,16,2020-04-04
1302,3,Dua Lipa,Don't Start Now,3,2,21,2020-04-04
1303,4,The Weeknd,Heartless,16,1,18,2020-04-04
1304,5,Post Malone,Circles,5,1,30,2020-04-04
1305,6,Future Featuring Drake,Life Is Good,4,2,11,2020-04-04
1306,7,Harry Styles,Adore You,7,7,16,2020-04-04
1307,8,Justin Bieber Featuring Quavo,Intentions,8,8,7,2020-04-04
1308,9,Doja Cat Featuring Nicki Minaj,Say So,14,9,12,2020-04-04
1309,10,Arizona Zervas,Roxanne,6,4,21,2020-04-04
1310,11,Lewis Capaldi,Someone You Loved,9,1,46,2020-04-04
