,Name,Artist,grammy_win
83,LAZARETTO,JACK WHITE,1
84,THE LAST IN LINE,"TENACIOUS D (JACK BLACK & KYLE GASS)",1
85,AIN'T IT FUN,PARAMORE,1
86,DRUNK IN LOVE,BEYONCE,1
87,JESUS CHILDREN,"LALAH HATHAWAY, ROBERT GLASPER EXPERIMENT (CASEY BENJAMIN, MARK COLENBURG, ROBERT GLASPER & DERRICK HODGE) & MALCOLM-JAMAL WARNER",1
89,I,KENDRICK LAMAR,1
90,SOMETHING IN THE WATER,CARRIE UNDERWOOD,1
91,GENTLE ON MY MIND,"THE BAND PERRY (KIMBERLY PERRY, NEIL PERRY & REID PERRY), ARTISTS",1
92,I'M NOT GONNA MISS YOU,GLEN CAMPBELL,1
93,FINGERPRINTS,CHICK COREA,1
94,NO GREATER LOVE,SMOKIE NORFUL,1
95,MESSENGERS,LECRAE,1
96,A FEATHER'S NOT A BIRD,ROSANNE CASH,1
97,A FEATHER'S NOT A BIRD,,1
98,LET IT GO,IDINA MENZEL,1
99,GET LUCKY,DAFT PUNK,1
101,ROYALS,LORDE,1
102,CLARITY,ZEDD,1
103,RADIOACTIVE,IMAGINE DRAGONS,1
104,GOD IS DEAD?,BLACK SABBATH,1
105,CUT ME SOME SLACK,,1
106,SOMETHING,SNARKY PUPPY WITH LALAH HATHAWAY,1
107,PLEASE COME HOME,GARY CLARK JR,1
108,PUSHER LOVE GIRL,,1
109,THRIFT SHOP,"MACKLEMORE, RYAN LEWIS",1
111,WAGON WHEEL,DARIUS RUCKER,1
112,FROM THIS VALLEY,THE CIVIL WARS,1
113,MERRY GO 'ROUND,,1
114,ORBITS,WAYNE SHORTER,1
115,LOVE HAS COME FOR YOU,,1
116,SKYFALL,ADELE,1
117,SOMEBODY THAT I USED TO KNOW,GOTYE,1
118,WE ARE YOUNG,FUN.,1
119,SET FIRE TO THE RAIN,ADELE,1
120,BANGARANG,SKRILLEX,1
121,LONELY BOY,THE BLACK KEYS,1
122,CLIMAX,USHER,1
123,LOVE ON TOP,BEYONCE,1
124,ADORN,MIGUEL,1
125,N****S IN PARIS,JAY-Z & KANYE WEST,1
127,BLOWN AWAY,CARRIE UNDERWOOD,1
128,PONTOON,LITTLE BIG TOWN,1
129,HOT HOUSE,CHICK COREA,1
130,SAFE & SOUND,,1
131,ROLLING IN THE DEEP,ADELE,1
132,SOMEONE LIKE YOU,ADELE,1
133,BODY AND SOUL,"TONY BENNETT, AMY WINEHOUSE",1
134,SCARY MONSTERS AND NICE SPRITES,SKRILLEX,1
135,WALK,FOO FIGHTERS,1
136,IS THIS LOVE,CORINNE BAILEY RAE,1
137,FOOL FOR YOU,CEE LO GREEN & MELANIE FIONA,1
138,OTIS,JAY-Z & KANYE WEST,1
139,ALL OF THE LIGHTS,KANYE WEST,1
140,MEAN,TAYLOR SWIFT,1
141,BARTON HOLLOW,THE CIVIL WARS,1
142,500 MILES HIGH,CHICK COREA,1
143,I SEE THE LIGHT,MANDY MOORE & ZACHARY LEVI,1
144,NEED YOU NOW,LADY ANTEBELLUM,1
145,BAD ROMANCE,LADY GAGA,1
146,JUST THE WAY YOU ARE,BRUNO MARS,1
