,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
19259,Blake Shelton,Sangria,38.0,20.0,2015-09-11,,Country,
19263,Michael Ray,Kiss You In The Morning,55.0,14.0,2015-09-11,"August 7, 2015",Country,
19273,Brantley Gilbert,One Hell Of An Amen,44.0,18.0,2015-09-11,"May 19, 2014","Country,Rock",
19275,Lana Del Rey,High By The Beach,51.0,3.0,2015-09-11,"August 10, 2015","Psychedelic,Dream-Pop,Power Pop,Trap,Alternative Pop,Alternative,Pop",
19278,Kip Moore,I'm To Blame,,,2015-09-11,"February 2, 2015",Country,
19321,Tove Lo,Talking Body,12.0,30.0,2015-09-04,"January 13, 2015","Electro-Pop,Synth-Pop,Pop",
19325,Eric Church,Like A Wrecking Ball,51.0,22.0,2015-09-04,"March 9, 2015",Country,
19359,J. Cole,Wet Dreamz,61.0,20.0,2015-09-04,"December 9, 2014","Producer,Rap",
19363,Jason Aldean,Tonight Looks Good On You,46.0,18.0,2015-09-04,"March 23, 2015","Country,Rock",
19366,Pitbull,Fun,40.0,15.0,2015-09-04,"April 21, 2015","Rap,R&;B",Chris Brown
19369,DJ Khaled,How Many Times,68.0,15.0,2015-09-04,"May 12, 2015","R&;B,Rap","Chris Brown, Lil Wayne, Big Sean"
19370,5 Seconds Of Summer,Fly Away,,,2015-09-04,"October 23, 2015","Australia,Pop-Rock,Pop,Punk Rock,Rock",
19407,"DJ Snake, AlunaGeorge",You Know You Like It,13.0,21.0,2015-08-28,"December 8, 2014","French Pop,France,Electro House,Electronic Pop,Electro,Electro-Pop,Trap,Electronic,Remix,House,Pop",
19457,Dove Cameron,If Only,94.0,2.0,2015-08-28,"July 31, 2015","Screen,Pop",
19458,Future,Commas,55.0,20.0,2015-08-28,"March 2, 2014","Atlanta,Producer,Trap,Rap",
19463,Mac Miller,100 Grandkids,,,2015-08-28,"August 7, 2015",Rap,
19502,Sam Hunt,Take Your Time,20.0,32.0,2015-08-21,"October 27, 2014",Country,
19506,Trey Songz,Slow Motion,26.0,26.0,2015-08-21,"January 20, 2015",R&;B,
19534,Drake,Charged Up,,,2015-08-21,"July 27, 2015","Canada,Beef,Rap",
19540,Canaan Smith,Love You Like That,46.0,20.0,2015-08-21,,Country,
19549,Maroon 5,This Summer's Gonna Hurt...,23.0,13.0,2015-08-21,"May 15, 2015","Rock,Pop",
19553,Brad Paisley,Crushin' It,66.0,15.0,2015-08-21,"August 12, 2014",Country,
19554,Wale,The Matrimony,70.0,19.0,2015-08-21,"March 2, 2015","DMV,R&;B,Rap",Usher
19556,Sage The Gemini,Good Thing,75.0,8.0,2015-08-21,"April 4, 2015","Pop,R&;B,Rap",Nick Jonas
19592,Little Big Town,Girl Crush,18.0,24.0,2015-08-14,"December 1, 2014","Ballad,Country,Rock",
19599,Taylor Swift,Shake It Off,1.0,50.0,2015-08-14,"August 18, 2014","Dance-Pop,Pop",
19611,Janet,No Sleeep,63.0,2.0,2015-08-14,"July 22, 2015","Remix,Pop,Soul,R&;B,Rap",J. Cole
19626,Bea Miller,Fire N Gold,,,2015-08-14,"April 22, 2014",Pop,
19635,Kelsea Ballerini,Love Me Like You Mean It,45.0,18.0,2015-08-14,"July 8, 2014","Pop,Country",
19640,Echosmith,Bright,40.0,20.0,2015-08-14,"February 2, 2015","Alternative Pop,Indie Pop,Pop,Christian,Country,Rock",
19644,Eminem,Kings Never Die,80.0,2.0,2015-08-14,"July 10, 2015","Rock,Screen,Rap",Gwen Stefani
19645,"Janelle Monae, Jidenna",Yoga,79.0,6.0,2015-08-14,"March 31, 2015","Pop,R&;B",
19646,Prince Royce,Back It Up,92.0,2.0,2015-08-14,"May 12, 2015",Pop,"Jennifer Lopez, Pitbull"
19647,Sam Smith,Like I Can,99.0,2.0,2015-08-14,"May 26, 2014","UK,Pop",
19732,Easton Corbin,Baby Be My Love Song,56.0,16.0,2015-08-07,"September 8, 2014",Country,
19734,Florida Georgia Line,Sippin' On Fire,40.0,20.0,2015-08-07,"October 14, 2014","Country,Rock",
19735,Future,Blow A Bag,,,2015-08-07,"July 17, 2015","Atlanta,Trap,Rap",
19736,twenty one pilots,Tear In My Heart,82.0,8.0,2015-08-07,"April 6, 2015","Electro-Pop,Indie Pop,Pop",
19740,Ciara,Dance Like We're Making Love,,,2015-08-07,"June 30, 2015","Pop,R&;B",
19776,Natalie La Rose,Somebody,10.0,26.0,2015-07-31,"January 6, 2015","Electro-Pop,Pop,R&;B",Jeremih
19781,Taylor Swift,Style,6.0,32.0,2015-07-31,"October 27, 2014","Pop-Rock,Funk-Pop,Disco,Pop",
19814,Billy Currington,Don't It,44.0,20.0,2015-07-31,"October 27, 2014",Country,
19818,Carrie Underwood,Little Toy Guns,47.0,18.0,2015-07-31,"February 16, 2015",Country,
19825,Carly Rae Jepsen,I Really Like You,39.0,20.0,2015-07-31,"March 2, 2015","Canada,Pop",
19828,Meek Mill,Lord Knows,88.0,2.0,2015-07-31,"June 29, 2015","Trap,Canada,Rap",
19830,Meek Mill,Jump Out The Face,91.0,2.0,2015-07-31,"June 29, 2015",Rap,Future
19831,Tech N9Ne,Hood Go Crazy,90.0,7.0,2015-07-31,"April 27, 2015",Rap,"2 Chainz, B.o.B"
19899,Steven Tyler,Love Is Your Name,,,2015-07-24,,Country,
19901,Meek Mill,Bad For You,78.0,2.0,2015-07-24,"June 29, 2015",Rap,Nicki Minaj
19916,A Thousand Horses,Smoke,47.0,20.0,2015-07-24,"January 19, 2015",Country,
19920,NEEDTOBREATHE,Brother,98.0,2.0,2015-07-24,"April 11, 2011","Christian,Rock",Gavin DeGraw
19963,George Ezra,Budapest,32.0,23.0,2015-07-17,"October 25, 2013","Rock,Folk Rock,Indie,UK,Pop,Folk",
19964,Taylor Swift,Blank Space,1.0,36.0,2015-07-17,"October 27, 2014","Teen Pop,Synth-Pop,Electro-Pop,Pop",
20001,Miguel,Coffee,78.0,3.0,2015-07-17,"May 4, 2015","Soul,Soul Pop,R&;B",
20006,Drake,Know Yourself,53.0,20.0,2015-07-17,"February 13, 2015","Trap,Canada,Rap",
20007,Jessie J,Flashlight,61.0,7.0,2015-07-17,"April 23, 2015","UK,Soundtrack,Pop",
20050,Meghan Trainor,Dear Future Husband,14.0,24.0,2015-07-10,"September 9, 2014",Pop,
20066,Ariana Grande,One Last Time,13.0,20.0,2015-07-10,"February 10, 2015","UK,Pop",
20084,Drake,Energy,26.0,20.0,2015-07-10,"February 13, 2015","Producer,Trap,Canada,Rap",
20091,Kenny Chesney With Grace Potter,Wild Child,56.0,15.0,2015-07-10,"September 23, 2014",Country,
20094,Shaggy,I Need Your Love,66.0,8.0,2015-07-10,"October 20, 2014",Pop,"Mohombi, Faydee, Costi"
20098,"Britney Spears, Iggy Azalea",Pretty Girls,29.0,8.0,2015-07-10,"May 4, 2015","Producer,Electro-Pop,Rap,Pop",
20101,Young Thug,Check,,,2015-07-10,"April 1, 2015","Atlanta,Trap,Rap",
20169,Sam Smith,Lay Me Down,8.0,20.0,2015-07-03,"May 26, 2014","UK,Pop",
20183,Hilary Duff,Sparks,,,2015-07-03,"April 7, 2015","Synth-Pop,Dance-Pop,Pop",
20184,"Mumford, Sons",Believe,31.0,15.0,2015-07-03,"March 9, 2015","Folk Rock,Adult Alternative,Alternative Rock,Indie Rock,UK,Rock",
20186,Kevin Gates,I Don't Get Tired,90.0,9.0,2015-07-03,"November 16, 2014","R&;B,Rap",August Alsina
20188,Chedda Da Connect,Flicka Da Wrist,94.0,4.0,2015-07-03,"March 3, 2015",Rap,
20189,Bandit Gang Marco,Nasty,41.0,9.0,2015-07-03,"February 10, 2014",Rap,Dro
20232,"Pitbull, Ne",Time Of Our Lives,9.0,27.0,2015-06-26,"November 17, 2014","Pop,Rap",
20236,Nick Jonas,Chains,13.0,20.0,2015-06-26,"July 24, 2014",Pop,
20272,Kanye West,All Day,15.0,15.0,2015-06-26,"March 2, 2015","UK,Drill,Trap,Producer,Rap","Theophilus London, Allan Kingdom, Paul McCartney"
20274,Zedd,I Want You To Know,17.0,16.0,2015-06-26,"February 23, 2015","Electro House,Electronic,Pop",Selena Gomez
20317,Eminem,Phenomenal,,,2015-06-19,"June 2, 2015","Soundtrack,Rap",
20328,How I Became The Bomb,"Ulay, Oh",,,2015-06-19,,Pop,
20335,Nicki Minaj,Truffle Butter,14.0,20.0,2015-06-19,"January 23, 2015","Canada,Electro-Hop,House,Producer,Rap","Drake, Lil Wayne"
20345,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,4.0,20.0,2015-06-19,"January 24, 2015","Acoustic,Folk,Soul Pop,Pop",
20364,A$AP Rocky,Electric Body,80.0,2.0,2015-06-19,"May 26, 2015","Cloud Rap,East Coast,R&;B,Trap,Pop,Rap",ScHoolboy Q
20365,Jamie Foxx,You Changed Me,93.0,2.0,2015-06-19,"March 12, 2015",R&;B,Chris Brown
20408,Meghan Trainor,All About That Bass,1.0,47.0,2015-06-12,"June 30, 2014","Adult Contemporary,R&;B,Bubblegum Pop,Doo-Wop,Pop",
20425,Zac Brown Band,Homegrown,35.0,20.0,2015-06-12,"January 12, 2015",Country,
20429,Kelly Clarkson,Heartbeat Song,21.0,20.0,2015-06-12,"January 12, 2015",Pop,
20445,Ciara,I Bet,43.0,14.0,2015-06-12,"January 26, 2015",R&;B,
20454,Kendrick Lamar,King Kunta,58.0,11.0,2015-06-12,"March 15, 2015","Producer,Funk,Funk Rock,G-Funk,Rap,West Coast",
20455,Keith Urban,Raise 'Em Up,56.0,14.0,2015-06-12,"January 26, 2013",Country,Eric Church
20485,Sawyer Fredericks,Please,,,2015-06-05,,"Pop,The Voice,Rock",
20487,Nicki Minaj,Feeling Myself,39.0,20.0,2015-06-05,"May 18, 2015",Rap,Beyonce
20496,Hozier,Take Me To Church,2.0,41.0,2015-06-05,"July 3, 2013","Blues,Gospel,Piano,Ireland,Singer-Songwriter,Indie,Folk Rock,Blues Rock,Alternative,Rock,Adult Alternative,Indie Rock,Adult Contemporary,Alternative Rock,Soul,LGBTQ+",
20507,"Chris Brown, Tyga",Ayo,21.0,20.0,2015-06-05,"January 6, 2015","R&;B,Rap",
20538,Meghan Linsey,Change My Mind,,,2015-06-05,,"Rock,The Voice,Pop",
20539,Eric Paslay,She Don't Love You,77.0,12.0,2015-06-05,"October 13, 2014",Country,
20545,Luke Bryan,Games,92.0,5.0,2015-06-05,"February 24, 2015",Country,
20582,Rae Sremmurd,Throw Sum Mo,30.0,20.0,2015-05-29,"December 9, 2014","Trap,Rap","Nicki Minaj, Young Thug"
20588,Sam Smith,I'm Not The Only One,5.0,37.0,2015-05-29,"May 26, 2014","Piano,Adult Alternative,Adult Contemporary,Blue-Eyed Soul,Soul,Soul Pop,Ballad,Pop-Rock,UK,Pop",
20590,Tyler Farr,A Guy Walks Into A Bar,51.0,20.0,2015-05-29,"August 18, 2014",Country,
20592,Sheppard,Geronimo,53.0,21.0,2015-05-29,"February 28, 2014",Rock,
20618,Dierks Bentley,Say You Do,52.0,18.0,2015-05-29,"February 25, 2014",Country,
20624,Nate Ruess,Nothing Without Love,77.0,4.0,2015-05-29,"February 23, 2015","Rock,Pop",
20630,Nick Fradiani,Beautiful Life,,,2015-05-29,"May 12, 2015",Pop,
20677,Meghan Trainor,Lips Are Movin,4.0,29.0,2015-05-22,"October 21, 2014","Doo-Wop,Bubblegum Pop,Pop",
20717,Cole Swindell,Ain't Worth The Whiskey,43.0,19.0,2015-05-22,"November 3, 2014",Country,
20722,Tori Kelly,Nobody Love,60.0,11.0,2015-05-22,"February 8, 2015","Pop,R&;B",
20724,Rihanna,American Oxygen,78.0,4.0,2015-05-22,"April 5, 2015","R&;B,Pop",
20726,Drake,10 Bands,58.0,13.0,2015-05-22,"February 13, 2015","Trap,Canada,Rap",
20769,Fall Out Boy,Centuries,10.0,34.0,2015-05-15,"September 9, 2014","Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",
20811,Drake,Legend,52.0,12.0,2015-05-15,"February 13, 2015","Canada,Rap",
20859,Usher,I Don't Mind,11.0,23.0,2015-05-08,"November 21, 2014","R&;B,Rap",Juicy J
20861,Vance Joy,Riptide,30.0,44.0,2015-05-08,"March 1, 2013","Australia,Singer-Songwriter,Contemporary Folk,Adult Alternative,Adult Contemporary,Folk,Alternative,Alternative Rock,Indie Rock,Pop,Folk Rock,Indie Pop,Rock",
20863,Lee Brice,Drinking Class,53.0,22.0,2015-05-08,"September 8, 2014","Country,Rock",
20872,Calvin Harris,Outside,29.0,20.0,2015-05-08,"October 20, 2014","Electronic,Dance,UK,Pop",Ellie Goulding
20879,Miranda Lambert,Little Red Wagon,55.0,11.0,2015-05-08,"June 3, 2014",Country,
20903,"Kid Ink, Tyga, Wale, YG, Rich Homie Quan",Ride Out,70.0,3.0,2015-05-08,"February 16, 2015",Rap,
20904,Iggy Azalea,Trouble,67.0,5.0,2015-05-08,"November 24, 2014","Aussie Hip-Hop,Australia,Soul Pop,Doo-Wop,R&;B,Pop,Rap",Jennifer Hudson
20948,Nicki Minaj,Only,12.0,25.0,2015-05-01,"October 28, 2014","DMV,Canada,East Coast,Trap,Rap","Drake, Lil Wayne, Chris Brown"
20950,Sam Smith,Stay With Me,2.0,54.0,2015-05-01,"May 26, 2014","Piano,Adult Alternative,Adult Contemporary,Soul Pop,Blue-Eyed Soul,Ballad,Soul,UK,Pop",
20977,Chris Young,Lonely Eyes,50.0,18.0,2015-05-01,"August 25, 2014",Country,
20978,LunchMoney Lewis,Bills,79.0,6.0,2015-05-01,"February 5, 2015","Rap,Pop",
21038,Big Sean,I Don't fuck With You,11.0,29.0,2015-04-24,"September 12, 2014","Hyphy,West Coast,Producer,Rap",E
21039,Beyonce,7/11,13.0,20.0,2015-04-24,"November 25, 2014","Pop,R&;B",
21068,Darius Rucker,Homegrown Honey,53.0,20.0,2015-04-24,"August 25, 2014",Country,
21073,"Wiz Khalifa, Iggy Azalea",Go Hard Or Go Home,86.0,2.0,2015-04-24,"February 6, 2015",Rap,
21078,Fall Out Boy,Immortals,72.0,8.0,2015-04-24,"October 14, 2014","Disney,Electronic Rock,Electro-Pop,Punk Rock,Pop-Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Pop,Rock",
21083,Ludacris,Good Lovin,91.0,2.0,2015-04-24,"December 15, 2014","R&;B,Rap",Miguel
21084,Who Is Fancy,Goodbye,,,2015-04-24,"February 10, 2015",Pop,
21128,Maroon 5,Animals,3.0,33.0,2015-04-17,"August 25, 2014","Adult Contemporary,Adult Alternative,Pop-Rock,Pop",
21131,One Direction,Night Changes,31.0,20.0,2015-04-17,"November 14, 2014","Boy Band,UK,Pop",
21135,Ne,She Knows,19.0,20.0,2015-04-17,"September 9, 2014","R&;B,Rap",
21138,Imagine Dragons,I Bet My Life,28.0,22.0,2015-04-17,"October 27, 2014","Indie Pop,Indie,Folk,Folk Rock,Adult Alternative,Indie Rock,Pop-Rock,Alternative Pop,Alternative,Pop,Alternative Rock,Rock",
21157,O.T. Genasis,CoCo,20.0,20.0,2015-04-17,"October 27, 2014","Trap,Memes,Rap",
21176,J. Cole,Apparently,58.0,16.0,2015-04-17,"December 9, 2014","Producer,Rap",
21177,Luke Bryan,I See You,41.0,19.0,2015-04-17,"November 3, 2014",Country,
21251,Breaking Benjamin,Failure,,,2015-04-10,"March 23, 2015","Post-Grunge,Hard Rock,Alternative Rock,Rock",
21258,Blake Shelton,Lonely Tonight,47.0,17.0,2015-04-10,"November 17, 2014",Country,Ashley Monroe
21261,Action Bronson,Baby Blue,,,2015-04-10,"March 2, 2015",Rap,Chance The Rapper
21263,Jason Aldean,Just Gettin' Started,54.0,18.0,2015-04-10,"November 10, 2014","Country,Rock",
21264,Thomas Rhett,Make Me Wanna,43.0,20.0,2015-04-10,"October 29, 2013",Country,
21311,Sia,Chandelier,8.0,46.0,2015-04-03,"March 17, 2014","Adult Contemporary,Ballad,Reggae,R&;B,Electro-Pop,Pop",
21313,Rae Sremmurd,No Type,16.0,26.0,2015-04-03,"September 15, 2014",Rap,
21330,Kendrick Lamar,The Blacker The Berry,,,2015-04-03,"February 9, 2015","Conscious Hip-Hop,Politics,Producer,West Coast,Rap",
21332,Brett Eldredge,Mean To Me,53.0,20.0,2015-04-03,"July 14, 2014",Country,
21348,twenty one pilots,Fairly Local,,,2015-04-03,"March 17, 2015","Alternative,Electronic,Electro-Pop,Dubstep,Rap,Pop",
21350,Selena Gomez,The Heart Wants What It Wants,6.0,20.0,2015-04-03,"November 6, 2014","R&;B,Pop",
21352,Empire Cast,You're So Beautiful,47.0,4.0,2015-04-03,"February 25, 2015","Rap,TV,Screen,R&;B","Jussie Smollett, Yazz"
21355,Kendrick Lamar,Wesley's Theory,,,2015-04-03,"March 23, 2015","Jazz-Funk,Jazz Fusion,Soul,P-Funk,Gangsta Rap,Conscious Hip-Hop,Producer,Funk,G-Funk,West Coast,Rap","George Clinton, Thundercat"
21356,OneRepublic,I Lived,32.0,17.0,2015-04-03,"September 23, 2014","Screen,Soundtrack,Folk Rock,Folk,Pop-Rock,Pop,Rock",
21358,Kendrick Lamar,These Walls,,,2015-04-03,"October 13, 2015","Screen,Producer,R&;B,East Coast,Soul,Neo Soul,Funk,Jazz-Funk,Jazz Fusion,Conscious Hip-Hop,West Coast,Rap","Bilal, Anna Wise, Thundercat"
21362,Kendrick Lamar,Institutionalized,,,2015-04-03,"March 15, 2015","Producer,East Coast,Conscious Hip-Hop,West Coast,Rap","Bilal, Anna Wise, Snoop Dogg"
21363,James Newton Howard,The Hanging Tree,12.0,17.0,2015-04-03,"November 17, 2014","Soundtrack,Folk,Pop,Screen,Literature",Jennifer Lawrence
21403,Ella Henderson,Ghost,21.0,20.0,2015-03-27,"March 1, 2014","Soul,Adult Contemporary,Adult Alternative,Blue-Eyed Soul,R&;B,Brit Pop,Soul Pop,Pop",
21443,Jessie J,Masterpiece,65.0,3.0,2015-03-27,"October 13, 2014","UK,Pop",
21444,Empire Cast,Conqueror,42.0,2.0,2015-03-27,"March 4, 2015","TV,Screen,R&;B","Estelle, Jussie Smollett"
21449,Jake Owen,What We Ain't Got,89.0,11.0,2015-03-27,"December 3, 2013","Country,R&;B,Rock",
21500,"Ariana Grande, The Weeknd",Love Me Harder,7.0,22.0,2015-03-20,"September 30, 2014","R&;B,Alternative R&;B,Synth-Pop,Synthwave",
21532,Florida Georgia Line,Sun Daze,44.0,20.0,2015-03-20,"September 16, 2014","Country,Rock",
21533,Randy Houser,Like A Cowboy,62.0,14.0,2015-03-20,"May 19, 2014",Country,
21541,Eric Church,Talladega,43.0,20.0,2015-03-20,"September 15, 2014",Country,
21544,Cashmere Cat,Adore,,,2015-03-20,"March 3, 2015","R&;B,Electronic,Pop",Ariana Grande
21548,Fifth Harmony,Sledgehammer,40.0,15.0,2015-03-20,"October 28, 2014","Electro-Pop,Electronic,Synth-Pop,Pop",
21550,B.o.B,Not For Long,80.0,9.0,2015-03-20,"October 14, 2014","R&;B,Rap",Trey Songz
21594,"Common, John Legend",Glory,49.0,3.0,2015-03-13,"December 11, 2014","Civil Rights,Screen,Rap,R&;B",
21595,"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,3.0,31.0,2015-03-13,"July 29, 2014","UK,Pop,Rap",
21611,Kid Rock,First Kiss,,,2015-03-13,"February 24, 2015",Rock,
21613,The Weeknd,Often,59.0,20.0,2015-03-13,"June 24, 2014","Canada,Pop,R&;B,Producer",
21625,Big Sean,All Your Fault,,,2015-03-13,"February 24, 2015",Rap,Kanye West
21628,Taylor Swift,You Are In Love,,,2015-03-13,"February 24, 2015",Pop,
21633,Prince Royce,Stuck On A Feeling,43.0,10.0,2015-03-13,,R&;B,Snoop Dogg
21637,Kanye West,Only One,35.0,8.0,2015-03-13,"December 31, 2014","Screen,Soul,Pop,Producer,R&;B",Paul McCartney
21645,Drake,No Tellin',81.0,2.0,2015-03-13,"February 13, 2015","Trap,Canada,Rap",
21689,I LOVE MAKONNEN,Tuesday,12.0,22.0,2015-03-06,"August 12, 2014","Bedroom Pop,Hip-Hop,R&;B,Trap,Rap",Drake
21690,Tove Lo,Habits,3.0,39.0,2015-03-06,"March 15, 2013","Electro-Pop,Synth-Pop,Pop",
21691,Taylor Swift,Wonderland,,,2015-03-06,"February 17, 2015","Electro-Pop,Synth-Pop,Dance-Pop,Pop",
21723,Drake,6 God,,,2015-03-06,"October 25, 2014","Alternative R&;B,Producer,Trap,Canada,Rap",
21724,Drake,Used To,84.0,2.0,2015-03-06,"February 13, 2015","Trap,Canada,Rap",Lil Wayne
21725,Chase Bryant,Take It On Back,82.0,8.0,2015-03-06,,Country,
21728,Florence + The Machine,What Kind Of Man,88.0,2.0,2015-03-06,"February 12, 2015","Alternative Rock,UK,Pop,Rock",
21729,Imagine Dragons,Shots,75.0,3.0,2015-03-06,"January 26, 2015","Indie Pop,Indie,Adult Alternative,Alternative Dance,Synth Rock,Indie Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop,New Wave,Synth-Pop,Dance,Rock",
21731,Wale,The Body,87.0,6.0,2015-03-06,"September 6, 2014","R&;B,Rap",Jeremih
21735,Drake,Now & Forever,,,2015-03-06,"February 13, 2015","R&;B,Canada,Rap",
21737,Drake,6 Man,,,2015-03-06,"February 13, 2015","Trap,Canada,Rap",
21797,Alesso,Heroes,31.0,20.0,2015-02-27,"August 25, 2014","Electronic,Pop",Tove Lo
21814,Carrie Underwood,Something In The Water,24.0,20.0,2015-02-27,"September 29, 2014","Christian,Country",
21819,Tim McGraw,Shotgun Rider,38.0,20.0,2015-02-27,"September 1, 2014","Country,Rock",
21830,The Weeknd,Where You Belong,,,2015-02-27,"February 24, 2015","Canada,Soundtrack,Screen,R&;B",
21832,Annie Lennox,I Put A Spell On You,,,2015-02-27,"September 15, 2014","Cover,Soundtrack,Screen,Pop",
21834,Empire Cast,Keep Your Money,,,2015-02-27,"February 3, 2015","Screen,R&;B",Jussie Smollett
21866,"Missy ""Misdemeanor"" Elliott",Work It,2.0,26.0,2015-02-20,"September 1, 2002","Hip-Hop,Rap",
21870,"Missy ""Misdemeanor"" Elliott",Get Ur Freak On,7.0,25.0,2015-02-20,"March 6, 2001","Dance-Pop,Dance,Hip-Hop,Alternative,Rap",
21915,Kid Ink,Body Language,72.0,18.0,2015-02-20,"September 9, 2014","R&;B,Rap","Usher, Tinashe"
21921,Fergie,L.A.LOVE,27.0,18.0,2015-02-20,"October 23, 2014","R&;B,Pop,Rap",
21923,Shawn Mendes,A Little Too Much,,,2015-02-20,"April 14, 2015",Pop,
21924,RaeLynn,God Made Girls,61.0,16.0,2015-02-20,"June 30, 2014",Country,
21925,Kid Ink,Hotel,,,2015-02-20,"January 9, 2015","R&;B,Rap",Chris Brown
21926,A,Out The Speakers,,,2015-02-20,,Pop,
21927,G,I Mean It,98.0,4.0,2015-02-20,"May 13, 2014","West Coast,Rap",
21967,MAGIC!,Rude,1.0,41.0,2015-02-13,"October 11, 2013","Canada,Reggae,Pop",
21994,Hoodie Allen,All About It,71.0,4.0,2015-02-13,"October 14, 2014","UK,Rap",Ed Sheeran
22008,Kenny Chesney,Til It's Gone,60.0,14.0,2015-02-13,"October 13, 2014",Country,
22010,Becky G,Can't Stop Dancin',88.0,3.0,2015-02-13,"October 17, 2014","Pop,R&;B",
22015,Brad Paisley,Perfect Storm,52.0,17.0,2015-02-13,"August 5, 2014",Country,
22021,One Direction,Steal My Girl,13.0,18.0,2015-02-13,"September 29, 2014","Boy Band,UK,Pop",
22063,Jeremih,Don't Tell 'Em,6.0,31.0,2015-02-06,"June 6, 2014","Fashion,R&;B,Rap",YG
22064,Iggy Azalea,Black Widow,3.0,30.0,2015-02-06,"July 8, 2014","Australia,UK,Pop,Rap",Rita Ora
22066,Calvin Harris,Blame,19.0,20.0,2015-02-06,"September 7, 2014","Electronic,UK,Pop",John Newman
22146,Bobby Shmurda,Hot Boy,6.0,25.0,2015-01-30,"January 14, 2015","Deutscher Rap,Deutschland,Rap",
22176,DJ Khaled,Hold You Down,39.0,20.0,2015-01-30,"August 3, 2014","R&;B,Rap","Chris Brown, August Alsina, Future, Jeremih"
22203,August Alsina,No Love,69.0,18.0,2015-01-30,"July 21, 2014","Soul,Remix,R&;B,Rap",
22246,Milky Chance,Stolen Dance,39.0,25.0,2015-01-23,"May 9, 2014","Alternative,Adult Alternative,Pop,Indie,Psychedelic,Electronic,Folk,Indie Pop",
22249,Clean Bandit,Rather Be,10.0,31.0,2015-01-23,"January 17, 2014","Electro-Pop,Deep House,Eurodance,Dance-Pop,Classical Crossover,UK,Synth-Pop,Baroque Pop,Electronic,House,Pop",Jess Glynne
22283,Keith Urban,Somewhere In My Car,49.0,20.0,2015-01-23,,"Country,Rock",
22285,Parmalee,Close Your Eyes,69.0,16.0,2015-01-23,"February 3, 2014",Country,
22286,Sophia Grace,Best Friends,,,2015-01-23,"November 30, 2014",Pop,
22297,Blake Shelton,Neon Light,43.0,20.0,2015-01-23,"August 18, 2014","Non-Music,Country,Rock",
22336,Jason Derulo,Trumpets,14.0,32.0,2015-01-16,"November 7, 2013","Pop,R&;B",
22344,Nicki Minaj,Anaconda,2.0,22.0,2015-01-16,"August 4, 2014","Memes,Rap,Pop,Producer",
22346,Rich Gang,Lifestyle,16.0,25.0,2015-01-16,"June 5, 2014","Atlanta,Trap,Hip-Hop,Rap","Young Thug, Rich Homie Quan"
22358,Colbie Caillat,Try,55.0,20.0,2015-01-16,"June 9, 2014","Feminism,Pop",
22373,Shawn Mendes,Something Big,80.0,3.0,2015-01-16,"November 7, 2014",Pop,
22377,"Nico, Vinz",In Your Arms,72.0,12.0,2015-01-16,"October 21, 2013","Norge,Pop,Rap",
22382,Nicki Minaj,Bed Of Lies,62.0,6.0,2015-01-16,"November 16, 2014","Soul Pop,R&;B,Pop,Rap",Skylar Grey
22385,Lorde,Yellow Flicker Beat,34.0,9.0,2015-01-16,"September 29, 2014","New Zealand,Art Pop,Adult Alternative,Alternative Dance,Electro-Pop,Electronic,Dance-Pop,Soundtrack,Screen,Producer,Pop",
22438,Ariana Grande,Santa Tell Me,42.0,5.0,2015-01-09,"November 24, 2014","R&;B,Christmas,Pop",
22471,Jessie J,Burnin' Up,86.0,6.0,2015-01-09,"January 1, 2014","R&;B,UK,Pop,Rap",2 Chainz
22475,Charli XCX,Break The Rules,91.0,3.0,2015-01-09,"August 19, 2014","Electronic Rock,UK,Pop",
22482,"Juicy J, Wiz Khalifa, Ty Dolla $ign",Shell Shocked,84.0,3.0,2015-01-09,"July 21, 2014","Soundtrack,Rap","Kill The Noise, Madsonik"
22483,Meghan Trainor,Title,,,2015-01-09,"September 9, 2014",Pop,
22496,Matt McAndrew,Wasted Love,,,2015-01-02,"December 15, 2014","Rock,The Voice,Pop",
22515,Craig Wayne Boyd,My Baby's Got A Smile On Her Face,,,2015-01-02,,"Pop,The Voice,Country",
22533,Chris Jamison,Velvet,,,2015-01-02,"December 15, 2014","The Voice,Pop",
22536,T.I.,About The Money,42.0,20.0,2015-01-02,"June 3, 2014","Atlanta,Trap,Rap",Young Thug
22552,Damien,Soldier,,,2015-01-02,,"The Voice,Pop",
22560,"Maddie, Tae",Girl In A Country Song,54.0,20.0,2015-01-02,,"Satire,Pop Country,Country,Rock",
22564,Nicki Minaj,Get On Your Knees,,,2015-01-02,"December 12, 2014","Pop,Rap",Ariana Grande
22571,Pitbull,Fireball,23.0,20.0,2015-01-02,"July 23, 2014",Rap,John Ryan
22619,Echosmith,Cool Kids,13.0,23.0,2014-12-26,"May 31, 2013","Pop,Rock",
22621,Chris Brown,New Flame,27.0,22.0,2014-12-26,"June 30, 2014","R&;B,Rap","Usher, Rick Ross"
