,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
30,Taylor Swift,ME!,2.0,10.0,2019-07-06,"April 26, 2019","Dream-Pop,Bubblegum Pop,Dance-Pop,Pop",Brendon Urie
31,Panic! At The Disco,High Hopes,4.0,47.0,2019-07-06,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",
32,Luke Combs,Beer Never Broke My Heart,22.0,8.0,2019-07-06,"May 8, 2019","Rock,Country",
33,City Girls,Act Up,26.0,17.0,2019-07-06,"November 16, 2018","Motown,East Coast,Rap",
34,"benny blanco, Halsey, Khalid",Eastside,9.0,50.0,2019-07-06,"July 12, 2018","R&;B,Pop",
35,J. Cole,Middle Child,4.0,23.0,2019-07-06,"January 23, 2019","Trap,East Coast,Rap",
36,"Daddy Yankee, Katy Perry",Con Calma,22.0,21.0,2019-07-06,"April 19, 2019","Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music",Snow
37,"Mustard, Migos",Pure Water,23.0,22.0,2019-07-06,"January 16, 2019","Atlanta,Trap,West Coast,Motown,Rap",
38,Ed Sheeran,Cross Me,34.0,5.0,2019-07-06,"May 24, 2019","Rap,R&;B,UK,Pop","Chance The Rapper, PnB Rock"
39,Meek Mill,Going Bad,6.0,30.0,2019-07-06,"November 30, 2018","East Coast,Canada,Rap",Drake
40,Khalid,Better,8.0,41.0,2019-07-06,"September 14, 2018","Electro-Pop,Pop,R&;B",
41,"Lady Gaga, Bradley Cooper",Shallow,1.0,39.0,2019-07-06,"September 27, 2018","Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop",
42,Cardi B,Press,16.0,4.0,2019-07-06,"May 31, 2019","Hardcore Hip-Hop,Trap,Hip-Hop,Rap",
43,Dan + Shay,Speechless,24.0,27.0,2019-07-06,"May 18, 2018",Country,
44,Travis Scott,Sicko Mode,1.0,47.0,2019-07-06,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",
45,"Tyler, The Creator",Earfquake,13.0,6.0,2019-07-06,"May 17, 2019","Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic",
46,A Boogie Wit da Hoodie,Look Back At It,27.0,29.0,2019-07-06,"December 7, 2018","Pop,Rap",
47,NLE Choppa,Shotta Flow,48.0,10.0,2019-07-06,"January 17, 2019",Rap,
48,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",2.0,20.0,2019-07-06,"February 8, 2019","Trap,Trip-Hop,Lo-Fi,R&;B,Pop",
49,Halsey,Nightmare,15.0,6.0,2019-07-06,"May 17, 2019","Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop",
50,"YG, Tyga, Jon Z",Go Loko,49.0,8.0,2019-07-06,"May 3, 2019","Trap,Puerto Rico,West Coast,Rap",
51,Lewis Capaldi,Someone You Loved,53.0,7.0,2019-07-06,"November 8, 2018","UK,Pop",
52,Thomas Rhett,Look What God Gave Her,32.0,17.0,2019-07-06,"March 1, 2019",Country,
53,Jonas Brothers,Cool,27.0,12.0,2019-07-06,"April 5, 2019","Teen Pop,Pop-Rock,Pop",
54,Offset,Clout,39.0,12.0,2019-07-06,"February 22, 2019","East Coast,Motown,Rap",Cardi B
55,"Marshmello, Kane Brown",One Thing Right,,,2019-07-06,"June 21, 2019",Pop,
56,Kane Brown,Good As You,36.0,18.0,2019-07-06,"October 19, 2018",Country,
57,YK Osiris,Worth It,52.0,19.0,2019-07-06,"February 8, 2019","Rap,East Coast,R&;B",
58,DJ Khaled,Just Us,43.0,6.0,2019-07-06,"May 16, 2019","Rap,R&;B",SZA
59,Luke Bryan,Knockin' Boots,59.0,9.0,2019-07-06,"March 29, 2019",Country,
60,P!nk,Walk Me Home,49.0,17.0,2019-07-06,"February 20, 2019",Pop,
61,Maren Morris,GIRL,59.0,17.0,2019-07-06,"January 17, 2019","Pop,Country,Pop Country",
62,5 Seconds Of Summer,Easier,48.0,5.0,2019-07-06,"May 23, 2019","Australia,Pop",
63,"Cardi B, Bruno Mars",Please Me,3.0,19.0,2019-07-06,"February 15, 2019","Rap,East Coast,West Coast,Soul Pop,R&;B,Pop",
64,Eric Church,Some Of It,65.0,5.0,2019-07-06,"October 5, 2018",Country,
65,Dan + Shay,All To Myself,66.0,8.0,2019-07-06,"May 3, 2018",Country,
66,"Bad Bunny, Tainy",Callaita,68.0,3.0,2019-07-06,"May 31, 2019","Pop,Latin Pop,Dancehall,Reggaeton,Latin Music,Latin Urban,Puerto Rico,En Espa\xc3\xb1ol",
67,Meek Mill,24/7,54.0,12.0,2019-07-06,"November 30, 2018","East Coast,UK,R&;B,Rap",Ella Mai
68,Ali Gatie,It's You,70.0,2.0,2019-07-06,"June 14, 2019",R&;B,
69,Jason Aldean,Rearview Town,68.0,5.0,2019-07-06,"March 16, 2018",Country,
70,Lil Baby,Out The Mud,,,2019-07-06,"June 21, 2019","Atlanta,Trap,Rap",Future
71,"The Chainsmokers, Bebe Rexha",Call You Mine,67.0,4.0,2019-07-06,"May 31, 2019","Electronic Pop,EDM,Electro House,Electro,Electro-Pop,Electronic,Dance-Pop,Dance,Pop",
72,"Summer Walker, Drake",Girls Need Love,37.0,18.0,2019-07-06,"February 27, 2019","Atlanta,Canada,Remix,R&;B",
