,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
52,Thomas Rhett,LOOK WHAT GOD GAVE HER,69.0,32.0,17.0,Country
53,Jonas Brothers,COOL,26.238095238095237,27.0,12.0,"Teen Pop,Pop-Rock,Pop"
54,Offset,CLOUT,95.0,39.0,12.0,"East Coast,Motown,Rap"
55,"Marshmello, Kane Brown",ONE THING RIGHT,29.0,,,Pop
56,Kane Brown,GOOD AS YOU,55.1875,36.0,18.0,Country
57,YK Osiris,WORTH IT,57.6,52.0,19.0,"Rap,East Coast,R&;B"
58,DJ Khaled,JUST US,66.0,43.0,6.0,"Rap,R&;B"
59,Luke Bryan,KNOCKIN' BOOTS,48.0,59.0,9.0,Country
60,P!nk,WALK ME HOME,42.0,49.0,17.0,Pop
61,Maren Morris,GIRL,28.25,59.0,17.0,"Pop,Country,Pop Country"
62,5 Seconds Of Summer,EASIER,81.5,48.0,5.0,"Australia,Pop"
63,"Cardi B, Bruno Mars",PLEASE ME,42.3,3.0,19.0,"Rap,East Coast,West Coast,Soul Pop,R&;B,Pop"
64,Eric Church,SOME OF IT,23.142857142857142,65.0,5.0,Country
65,Dan + Shay,ALL TO MYSELF,83.0,66.0,8.0,Country
66,"Bad Bunny, Tainy",CALLAITA,42.666666666666664,68.0,3.0,"Pop,Latin Pop,Dancehall,Reggaeton,Latin Music,Latin Urban,Puerto Rico,En Espa\xc3\xb1ol"
67,Meek Mill,24/7,97.0,54.0,12.0,"East Coast,UK,R&;B,Rap"
68,Ali Gatie,IT'S YOU,73.0,70.0,2.0,R&;B
69,Jason Aldean,REARVIEW TOWN,17.55,68.0,5.0,Country
70,Lil Baby,OUT THE MUD,27.1,,,"Atlanta,Trap,Rap"
71,"The Chainsmokers, Bebe Rexha",CALL YOU MINE,6.565217391304348,67.0,4.0,"Electronic Pop,EDM,Electro House,Electro,Electro-Pop,Electronic,Dance-Pop,Dance,Pop"
72,"Summer Walker, Drake",GIRLS NEED LOVE,43.4,37.0,18.0,"Atlanta,Canada,Remix,R&;B"
73,"Lunay, Daddy Yankee, Bad Bunny",SOLTERA,22.25,73.0,7.0,"Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop"
74,Florida Georgia Line,TALK YOU OUT OF IT,27.95,73.0,19.0,Country
75,SHAED,TRAMPOLINE,79.0,77.0,4.0,Pop
76,"Yella Beezy, Gucci Mane, Quavo",BACC AT IT AGAIN,59.333333333333336,78.0,5.0,"Hip-Hop,Rap"
77,Beyonce,BEFORE I LET GO,33.0,65.0,10.0,"Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B"
78,DJ Khaled,WISH WISH,88.0,19.0,6.0,"Atlanta,Trap,Rap"
79,Chris Young,RAISED ON COUNTRY,94.5,81.0,4.0,Country
80,Travis Scott,WAKE UP,74.9,30.0,4.0,"Trap,R&;B,Canada,Rap"
81,Sech,OTRO TRAGO,67.4,81.0,3.0,"Dancehall,Reggaeton,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Puerto Rico,Latin Pop,Pop"
82,Chase Rice,EYES ON YOU,60.0,38.0,19.0,Country
83,Bryce Vine,LA LA LAND,69.0,85.0,4.0,"Pop,Rap,Hip-Hop,R&;B"
84,Billie Eilish,OCEAN EYES,61.583333333333336,84.0,18.0,"Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop"
85,Marshmello,HERE WITH ME,30.0,31.0,16.0,"Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop"
86,Brett Eldredge,LOVE SOMEONE,74.0,52.0,10.0,Country
87,Lil Uzi Vert,SANGUINE PARADISE,78.4,28.0,11.0,"East Coast,Trap,Rap"
88,Eli Young Band,LOVE AIN'T,94.0,50.0,11.0,Country
89,"Pedro Capo, Farruko",CALMA,67.76923076923077,71.0,15.0,"Puerto Rico,Reggaeton,Latin Music,Latin Pop,Latin Urban,Remix,En Espa\xc3\xb1ol,Pop"
90,Jonas Brothers,ONLY HUMAN,98.0,91.0,3.0,Pop
91,Justin Moore,THE ONES THAT DIDN'T MAKE IT BACK HOME,82.0,93.0,2.0,Country
92,Megan Thee Stallion,BIG OLE FREAK,71.0,65.0,12.0,Rap
93,NAV,TAP,75.6,89.0,3.0,"Canada,East Coast,Rap"
94,DJ Khaled,YOU STAY,72.17647058823529,44.0,4.0,"Atlanta,R&;B,Latin Music,En Espa\xc3\xb1ol,Rap"
95,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",BAILA BAILA BAILA,30.11111111111111,69.0,9.0,"Latin Pop,Reggaeton,Remix,Puerto Rico,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Pop"
96,Megan Thee Stallion,CASH SHIT,70.0,,,"East Coast,Rap"
97,Drake,OMERTA,100.0,35.0,2.0,"Hip-Hop,Basketball,NBA,Canada,Rap"
98,Martin Garrix,SUMMER DAYS,75.0,,,"Electronic Pop,Electro,Electro House,Nederland,Electronic,Electro-Pop,Rap,Electronic Trap,Tropical House,Dance-Pop,Pop"
99,Billie Eilish,WHEN THE PARTY'S OVER,65.0,29.0,32.0,"R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop"
100,Calboy,ENVY ME,11.0,31.0,27.0,Rap
