,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
1480,Red Hot Chili Peppers,DARK NECESSITIES,46.4,67.0,2.0,"Adult Alternative,Funk Rock,Alternative Rock,Rock"
1481,Kevin Gates,2 PHONES,34.625,17.0,25.0,"Memes,Trap,Rap"
1482,Tim McGraw,HUMBLE AND KIND,58.4,30.0,20.0,Country
1483,Kane Brown,AIN'T NO STOPPING US NOW,83.0,,,Country
1484,Rihanna,KISS IT BETTER,63.0,62.0,12.0,"Synth Rock,Pop,R&;B"
1485,Bryson Tiller,EXCHANGE,55.73076923076923,26.0,34.0,"Boom Bap,Singer-Songwriter,Dark Pop,Soul Pop,Hardcore Hip-Hop,Conscious Hip-Hop,Pop,Dancehall,Soul,Trap,Rap,R&;B"
1486,Dierks Bentley,SOMEWHERE ON A BEACH,88.0,35.0,20.0,Country
1487,Jacob Sartorius,SWEATSHIRT,37.2,,,"Memes,Dance,Rock,Pop"
1488,Drake,WITH YOU,84.0,47.0,7.0,"Canada,Rap"
1489,Belly,MIGHT NOT,58.80952380952381,68.0,17.0,"Canada,R&;B,Rap"
1490,Alan Walker,FADED,74.0,80.0,8.0,"Progressive House,House,Electronic,Pop"
1491,DJ Snake,MIDDLE,92.11111111111111,20.0,21.0,"Gaming,Soundtrack,Electronic,Pop"
1492,Maren Morris,MY CHURCH,19.19148936170213,50.0,20.0,"Gospel,Pop Country,Country"
1493,Old Dominion,SNAPBACK,80.9,50.0,20.0,Country
1494,Mike WiLL Made,NOTHING IS PROMISED,28.65,,,"Pop,Trap,Rap"
1495,Dustin Lynch,MIND READER,12.333333333333334,57.0,16.0,Country
1496,Beyonce,FORMATION,57.5,10.0,7.0,"R&;B,Pop"
1497,Drake,FEEL NO WAYS,28.833333333333332,53.0,6.0,"Hip-Hop,Canada,Rap"
1498,Yo Gotti,LAW,59.5,79.0,9.0,Rap
1499,Kelly Clarkson,PIECE BY PIECE,84.0,8.0,15.0,"Electro-Pop,Orchestral,Pop"
1500,Young Greatness,MOOLAH,60.0,85.0,9.0,Rap
1501,Ghost Town DJ's,MY BOO,22.42,27.0,36.0,"Memes,R&;B,Pop"
1502,Jason Derulo,IF IT AIN'T LOVE,68.52380952380952,67.0,8.0,"R&;B,Pop"
1503,Drake,9,75.52631578947368,45.0,5.0,"Canada,Rap"
1504,Charlie Puth,ONE CALL AWAY,76.33333333333333,12.0,26.0,Pop
1505,Drake,U WITH ME?,46.27777777777778,44.0,4.0,"Canada,Rap"
1506,Drake,FIRE & DESIRE,56.05882352941177,75.0,4.0,"Canada,Rap"
1507,Drake,REDEMPTION,80.3076923076923,61.0,3.0,"Canada,Rap"
1508,Alisan Porter,DOWN THAT ROAD,93.0,,,"Country,Pop"
1509,Shawn Mendes,STITCHES,96.26666666666667,4.0,52.0,Pop
1510,Bryson Tiller,DON'T,98.0,13.0,34.0,"Boom Bap,Singer-Songwriter,Dark Pop,Soul Pop,Soul,Rap,Trap,Alternative R&;B,R&;B"
1511,Drake,WESTON ROAD FLOWS,82.07692307692308,54.0,2.0,"Canada,Rap"
1512,Drake,KEEP THE FAMILY CLOSE,76.35,68.0,2.0,"Ballad,Pop,Canada,Rap"
1513,Drake,FAITHFUL,85.0,72.0,2.0,"Canada,Rap"
1514,Chance The Rapper,BLESSINGS,76.36666666666666,,,"Gospel,Christian,Rap"
1515,Kid Ink,PROMISE,100.0,57.0,14.0,Rap
1516,Blake Shelton,GO AHEAD AND BREAK MY HEART,88.5,,,Country
1517,Jennifer Lopez,AIN'T YOUR MAMA,86.71428571428571,76.0,2.0,Pop
1518,Beyonce,6 INCH,85.8,18.0,3.0,"Canada,R&;B,Pop"
1519,Rascal Flatts,I LIKE THE SOUND OF THAT,72.54545454545455,52.0,16.0,Country
1520,Florida Georgia Line,CONFESSION,41.666666666666664,53.0,20.0,"Country,Rock"
1521,Iggy Azalea,TEAM,37.642857142857146,42.0,8.0,"Aussie Hip-Hop,Australia,Electro-Hop,Electronic,Pop,Rap"
1522,Beyonce,DON'T HURT YOURSELF,77.3,28.0,2.0,"Pop-Rock,Rock,Pop"
1523,Beyonce,ALL NIGHT,97.0,38.0,2.0,"Pop,R&;B"
1524,Beyonce,FREEDOM,87.0,35.0,2.0,"West Coast,Rap,R&;B"
1525,Beyonce,DADDY LESSONS,34.0,41.0,2.0,"Country,Bluegrass"
1526,Beyonce,PRAY YOU CATCH ME,66.2,37.0,2.0,"Pop,R&;B"
1527,Beyonce,SANDCASTLES,64.33333333333333,43.0,2.0,"Ballad,R&;B,Pop"
1528,Beyonce,LOVE DROUGHT,50.75,47.0,2.0,"R&;B,Pop"
1529,Drake,VIEWS,83.5,,,"Canada,Rap"
1530,Drake,SUMMER SIXTEEN,75.33333333333333,6.0,14.0,"Beef,Canada,Rap"
1531,Prince And The Revolution,PURPLE RAIN,16.4375,2.0,18.0,"Eighties,Soul,Soul Pop,Pop,Soundtrack,R&;B,Rock"
1532,Prince,WHEN DOVES CRY,69.0,1.0,23.0,"Eighties,Soundtrack,Funk,Pop,R&;B,Rock"
1533,Prince,LITTLE RED CORVETTE,97.0,6.0,24.0,"Synth-Pop,New Wave,Pop,Rock,R&;B"
1534,Prince And The Revolution,KISS,75.0,1.0,20.0,"Pop,Funk,R&;B,Rock"
1535,Prince And The Revolution,LET'S GO CRAZY,50.733333333333334,1.0,21.0,"Soundtrack,Funk,R&;B,Rock"
1536,Prince,1999,51.07692307692308,12.0,30.0,"Dance,Funk,Pop,Rock"
1537,Prince And The Revolution,RASPBERRY BERET,78.0,2.0,18.0,"Eighties,Pop,R&;B,Rock"
1538,Prince And The Revolution,I WOULD DIE 4 U,72.35135135135135,8.0,16.0,"Eighties,Soundtrack,Pop,Funk,R&;B,Rock"
1539,"Drake, Future",JUMPMAN,88.55555555555556,12.0,32.0,"Trap,Canada,Rap"
1540,Beyonce,FORWARD,84.2,,,"R&;B,Pop"
1541,Chris Brown,BACK TO SLEEP,45.51851851851852,20.0,20.0,"Pop,Rap,Remix,R&;B"
1542,Cole Swindell,YOU SHOULD BE HERE,93.33333333333333,31.0,20.0,Country
1543,A$AP Ferg,NEW LEVEL,65.6,90.0,3.0,"Atlanta,East Coast,Trap,Rap"
1544,Justin Bieber,COMPANY,90.0,53.0,12.0,"Electronic,Dance-Pop,Dance,Canada,Pop"
1545,The Weeknd,ACQUAINTED,98.0,60.0,18.0,"Canada,Pop,R&;B"
1546,Lee Brice,THAT DON'T SOUND LIKE YOU,75.8,64.0,11.0,Country
1547,Selena Gomez,HANDS TO MYSELF,31.35,7.0,20.0,Pop
1548,Adele,HELLO,59.0,1.0,26.0,"Adult Alternative,Adult Contemporary,Ballad,Piano,Soul,Memes,UK,Pop"
1549,Yo Gotti,DOWN IN THE DM,37.07692307692308,13.0,21.0,Rap
1550,The Weeknd,THE HILLS,52.3,1.0,48.0,"Trap,Alternative R&;B,Canada,Pop,R&;B"
1551,Taylor Swift,NEW ROMANTICS,62.0,46.0,8.0,"New Wave,Synth-Pop,Pop"
1552,Brett Eldredge,DRUNK ON YOUR LOVE,66.1,35.0,15.0,Country
1553,Ty Dolla $ign,SAVED,66.41176470588235,81.0,9.0,Rap
1554,Chase Bryant,LITTLE BIT OF YOU,56.0,71.0,11.0,Pop
1555,DJ Luke Nasty,MIGHT BE,38.35,78.0,10.0,Rap
1556,Kanye West,PT. 2,75.05882352941177,54.0,3.0,"Experimental,Trap,Rap"
1557,Fetty Wap,JIMMY CHOO,69.375,65.0,11.0,Rap
1558,Jonas Blue,FAST CAR,36.25,98.0,5.0,"Dance-Pop,UK,Dance,Pop"
1559,Thomas Rhett,DIE A HAPPY MAN,69.44444444444444,21.0,30.0,Country
1560,Chris Stapleton,NOBODY TO BLAME,83.2,68.0,15.0,Country
1561,Kanye West,WAVES,55.2,71.0,2.0,"DMV,Gospel,R&;B,Trap,Rap"
1562,Robin Schulz,SUGAR,49.05555555555556,44.0,15.0,"Electronic,Dance,Pop"
1563,Kanye West,ULTRALIGHT BEAM,69.27272727272727,67.0,2.0,"Hip-Hop,Gospel,Christian,Rap"
1564,Panic! At The Disco,VICTORIOUS,77.94736842105263,89.0,4.0,"Rock,Synth-Pop,Power Pop,Pop-Rock,Pop"
1565,Drake,HOTLINE BLING,78.66666666666667,2.0,36.0,"Hip-Hop,Rap,Producer,Pop,R&;B,Memes,Canada"
1566,Adele,WHEN WE WERE YOUNG,57.0,14.0,20.0,"Piano,Ballad,Soul,UK,Pop"
1567,Kanye West,FML,68.28571428571429,,,"Alternative R&;B,R&;B,Canada,Rap"
1568,Chris Stapleton,TENNESSEE WHISKEY,87.0,20.0,6.0,Country
1569,Kanye West,REAL FRIENDS,100.0,,,"West Coast,Rap"
1570,Zac Brown Band,BEAUTIFUL DRUG,31.358974358974358,52.0,20.0,Country
1571,Carrie Underwood,HEARTBEAT,86.88888888888889,42.0,14.0,Country
1572,Kanye West,FEEDBACK,71.81818181818181,,,"Industrial,Experimental,Producer,Rap"
1573,Fetty Wap,679,81.1,4.0,40.0,"R&;B,Trap,Rap"
1574,Justin Bieber,WHAT DO YOU MEAN?,51.6,1.0,31.0,"Canada,Tropical House,Electro-Pop,Electronic,Pop"
1575,Meghan Trainor,LIKE I'M GONNA LOSE YOU,92.0,8.0,39.0,Pop
1576,Post Malone,WHITE IVERSON,75.72413793103448,14.0,30.0,"Hip-Hop,Cloud Rap,Trap,Memes,Sports,Rap"
1577,Zayn,LIKE I WOULD,84.0,55.0,3.0,"R&;B,UK,Pop"
1578,Rachel Platten,STAND BY YOU,66.36842105263158,37.0,20.0,Pop
1579,"Shawn Mendes, Camila Cabello",I KNOW WHAT YOU DID LAST SUMMER,51.9,20.0,20.0,Pop
1580,Young Thug,WITH THEM,24.0,,,"Atlanta,Trap,Rap"
1581,Luke Bryan,HOME ALONE TONIGHT,81.25,38.0,19.0,Country
1582,Young Thug,DIGITS,66.21428571428571,,,"Atlanta,Trap,Rap"
1583,Ellie Goulding,SOMETHING IN THE WAY YOU MOVE,64.88888888888889,43.0,10.0,Pop
1584,Gwen Stefani,MAKE ME LIKE YOU,21.925,54.0,5.0,Pop
1585,Daya,HIDE AWAY,78.6923076923077,23.0,27.0,"Electro-Pop,Pop"
1586,Alessia Cara,HERE,38.611111111111114,5.0,34.0,"Producer,Pop,R&;B"
1587,Selena Gomez,SAME OLD LOVE,73.4375,5.0,28.0,Pop
1588,Elle King,EX'S & OH'S,32.7,10.0,38.0,"Adult Contemporary,Adult Alternative,Blues Rock,Alternative Country,Alternative Rock,Pop-Rock,Rock,Pop"
1589,The Weeknd,IN THE NIGHT,35.0,12.0,20.0,"Canada,Pop,R&;B"
1590,Coldplay,ADVENTURE OF A LIFETIME,36.81578947368421,13.0,20.0,"Dance-Pop,Disco,Pop,Rock"
1591,Granger Smith,BACKROAD SONG,45.61764705882353,49.0,16.0,Country
1592,The Weeknd,CAN'T FEEL MY FACE,34.0,1.0,41.0,"Indie Pop,Soul Pop,Alternative R&;B,Nu Disco,Funk,Canada,Pop,R&;B"
1593,Randy Houser,WE WENT,100.0,60.0,13.0,Country
1594,Keith Urban,BREAK ON ME.,99.0,54.0,12.0,Country
1595,2 Chainz,WATCH OUT,65.0,64.0,11.0,Rap
1596,Jason Derulo,GET UGLY,60.68421052631579,52.0,12.0,"Pop,R&;B"
1597,2 Chainz,GOTTA LOTTA,42.84615384615385,,,Rap
1598,Travis Scott,ANTIDOTE,96.0,16.0,26.0,"Trap,Hip-Hop,Memes,Rap"
1599,Wiz Khalifa,SEE YOU AGAIN,72.28571428571429,1.0,52.0,"Hip-Hop,Piano,Pop,Memorial,Soundtrack,Rap"
1600,Flo Rida,HELLO FRIDAY,17.15,,,Rap
1601,Lady Gaga,TIL IT HAPPENS TO YOU,84.0,,,"Screen,Pop"
1602,Empire Of The Sun,WALKING ON A DREAM,48.05,65.0,5.0,"Adult Alternative,Soundtrack,Pop,Dance-Pop,Alternative Rock,Alternative Pop,Alternative Dance,Psychedelic Rock,Synth Rock,Synth-Pop,New Wave,Pop-Rock,Indie Rock,Indie Pop,Rock"
1603,One Direction,HISTORY,61.325581395348834,65.0,6.0,"Boy Band,UK,Pop"
1604,Taylor Swift,WILDEST DREAMS,74.44444444444444,5.0,27.0,"Dream-Pop,Pop"
1605,Kelsea Ballerini,DIBS,98.0,58.0,17.0,Country
1606,Taylor Swift,OUT OF THE WOODS,72.23333333333333,18.0,10.0,"Electro-Pop,Synth-Pop,Pop"
1607,Tori Kelly,HOLLOW,92.0,68.0,11.0,"Christian,Pop"
1608,Migos,LOOK AT MY DAB,55.75925925925926,,,"Trap,Dab,Memes,Rap"
1609,LOCASH,I LOVE THIS LIFE,80.0,56.0,18.0,Country
1610,Sam Hunt,BREAK UP IN A SMALL TOWN,62.25,29.0,20.0,Country
1611,Ellie Goulding,ON MY MIND,84.0,13.0,22.0,"Gaming,Soundtrack,Pop"
1612,Demi Lovato,CONFIDENT,47.0,21.0,20.0,"Pop-Rock,Marvel,Pop"
1613,Brothers Osborne,STAY A LITTLE LONGER,81.0,46.0,20.0,Country
1614,Adele,ALL I ASK,37.0,,,"UK,Pop"
1615,Andy Grammer,GOOD TO BE ALIVE,67.75,62.0,10.0,Pop
1616,David Guetta,BANG MY HEAD,23.06451612903226,76.0,6.0,Pop
1617,Fall Out Boy,IRRESISTIBLE,41.5,48.0,14.0,"Pop-Punk,Punk Rock,Alternative Rock,Pop-Rock,Pop,Rock"
1618,DLOW,DO IT LIKE ME,97.5,45.0,15.0,Rap
1619,Dawin,DESSERT,69.22727272727273,68.0,11.0,R&;B
1620,Silento,WATCH ME,58.0,3.0,51.0,"Pop,Rap"
1621,Future,FLY SHIT ONLY,37.6,,,"Trap,Rap"
1622,Missy Elliott,WTF,69.16666666666667,22.0,14.0,Rap
1623,Chase Rice,WHISPER,54.65,,,Country
1624,Nelly,THE FIX,74.95,62.0,20.0,"R&;B,Rap"
1625,J. Cole,NO ROLE MODELZ,59.18181818181818,36.0,25.0,"Producer,Rap"
1626,Fetty Wap,AGAIN,20.941176470588236,33.0,26.0,"Trap,R&;B,Rap"
1627,"Drake, Future",BIG RINGS,35.193548387096776,52.0,20.0,"Canada,Trap,Rap"
1628,Brad Paisley,COUNTRY NATION,73.38888888888889,94.0,2.0,"Country,Pop"
1629,DeJ Loaf,BACK UP,94.0,47.0,18.0,Rap
1630,Kevin Gates,JAM,83.0,,,"R&;B,Rap"
1631,Sia,ALIVE,58.45,56.0,3.0,"Australia,Pop"
1632,Big Sean,PLAY NO GAMES,68.5,84.0,14.0,"R&;B,Rap"
1633,Jana Kramer,I GOT THE BOY,68.0,56.0,16.0,Country
1634,Eric Church,MR. MISUNDERSTOOD,73.5,84.0,5.0,Country
1635,Jason Aldean,GONNA KNOW WE WERE HERE,54.78947368421053,54.0,16.0,"Country,Rock"
1636,Panic! At The Disco,EMPEROR'S NEW CLOTHES,17.463414634146343,68.0,4.0,"Emo,Pop-Rock,Pop,Rock"
1637,Curren$Y,BOTTOM OF THE BOTTLE,51.0,,,Rap
1638,R. City,LOCKED AWAY,89.0,6.0,27.0,"Dancehall,Reggae,R&;B,Rap,Pop"
1639,Justin Bieber,I'LL SHOW YOU,41.35,19.0,12.0,"Canada,Electro-Pop,Electronic,Pop"
1640,Halsey,NEW AMERICANA,75.33333333333333,60.0,17.0,"Alternative,Alternative Pop,Pop"
1641,Panic! At The Disco,DEATH OF A BACHELOR,92.375,,,"Swing,R&;B,Jazz,Synth-Pop,Pop"
1642,Rudimental,LAY IT ALL ON ME,94.85714285714286,48.0,16.0,"UK,Pop"
1643,Drake,RIGHT HAND,35.91525423728814,58.0,19.0,"Canada,Rap"
1644,Rae Sremmurd,COME GET HER,53.43396226415094,56.0,19.0,Rap
1645,J Balvin,GINZA,71.28571428571429,84.0,15.0,"Rap,Latin Music,Reggaeton,En Espa\xc3\xb1ol"
1646,Fetty Wap,TRAP QUEEN,70.86666666666666,2.0,52.0,"Hip-Hop,Memes,R&;B,Rap,Trap"
1647,David Bowie,LAZARUS,99.4,,,"Art Pop,UK,Art Rock,Jazz,Rock"
1648,David Bowie,SPACE ODDITY,55.35,15.0,15.0,"Psychedelic,Progressive Rock,Baroque Pop,Space Rock,Folk Rock,Psychedelic Rock,Art Rock,UK,Rock"
1649,"Queen, David Bowie",UNDER PRESSURE,58.0,29.0,16.0,"Adult Alternative,British Rock,Pop-Rock,New Wave,Pop,UK,Rock"
1650,David Bowie,BLACKSTAR,89.33333333333333,,,"Experimental,British Rock,UK,Avant Garde,Drum &; Bass,Electronic,Experimental Rock,Progressive Rock,Jazz,Art Rock,Rock"
1651,Gwen Stefani,USED TO LOVE YOU,68.15789473684211,52.0,9.0,Pop
1652,Blake Shelton,GONNA,56.0,54.0,18.0,"Country,Pop"
1653,Fetty Wap,RGF ISLAND,84.33333333333333,57.0,14.0,"East Coast,R&;B,Trap,Rap"
1654,Ty Dolla $ign,BLASE,92.78571428571429,63.0,18.0,Rap
1655,Future,WHERE YA AT,92.81818181818181,28.0,25.0,"Atlanta,Trap,Rap"
1656,"Macklemore, Ryan Lewis",DOWNTOWN,49.5,12.0,20.0,"Funk,Pop,Rap"
1657,Tim McGraw,TOP OF THE WORLD,70.5,73.0,13.0,Country
1658,Carrie Underwood,SMOKE BREAK,77.6,43.0,19.0,Country
1659,iLoveMemphis,HIT THE QUAN,74.84615384615384,15.0,20.0,Rap
1660,Cam,BURNING HOUSE,68.0,29.0,25.0,Country
1661,Chris Brown,LIQUOR,61.05555555555556,60.0,17.0,R&;B
1662,Future,STICK TALK,54.65,91.0,2.0,"Atlanta,Trap,Rap"
1663,Justin Bieber,THE FEELING,32.37777777777778,31.0,7.0,"Canada,Pop"
1664,Chris Brown,ZERO,67.6,80.0,2.0,"Funk,Disco,R&;B"
1665,Fetty Wap,JUGG,55.416666666666664,86.0,6.0,"R&;B,Trap,Rap"
1666,Chris Brown,LITTLE MORE,28.704545454545453,,,"Electronic,Dance-Pop,Dance,Pop"
1667,Jordan Smith,MARY DID YOU KNOW,59.57142857142857,,,Pop
1668,Selena Gomez,GOOD FOR YOU,70.66666666666667,5.0,26.0,"Rap,Pop"
1669,One Direction,DRAG ME DOWN,27.807692307692307,3.0,20.0,"Rock,Pop-Rock,Boy Band,UK,Pop"
1670,Jordan Smith,CLIMB EVERY MOUNTAIN,61.42857142857143,,,Pop
1671,Drake,BACK TO BACK,95.0,21.0,20.0,"Canada,Producer,Trap,Beef,Rap"
1672,Dan + Shay,NOTHIN' LIKE YOU,47.0,51.0,19.0,Country
1673,Luke Bryan,STRIP IT DOWN,27.333333333333332,30.0,20.0,Country
1674,"Jordan Smith, Adam Levine",GOD ONLY KNOWS,52.0,,,Pop
1675,Jordan Smith,SOMEBODY TO LOVE,92.33333333333333,21.0,2.0,Pop
1676,X Ambassadors,RENEGADES,90.18181818181819,17.0,35.0,"Pop,Adult Contemporary,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock"
1677,Justin Bieber,MARK MY WORDS,63.63157894736842,42.0,4.0,"Canada,Pop"
1678,Parmalee,ALREADY CALLIN' YOU MINE,70.29411764705883,91.0,3.0,Country
1679,G,RANDOM,65.875,,,"Pop,West Coast,Rap"
1680,Justin Bieber,NO PRESSURE,66.25,49.0,4.0,"Rap,Canada,Pop"
1681,G,DRIFTING,39.611111111111114,,,"R&;B,West Coast,Rap"
1682,Chris Young,I'M COMIN' OVER,87.0,33.0,23.0,Country
1683,"Calvin Harris, Disciples",HOW DEEP IS YOUR LOVE,69.15,27.0,20.0,"Deep House,Electronic,UK,Pop"
1684,Justin Bieber,NO SENSE,73.5,54.0,3.0,"Rap,Canada,Pop"
1685,PSY,DADDY,66.84615384615384,,,Pop
1686,Cole Swindell,LET ME SEE YA GIRL,42.8,59.0,18.0,Country
1687,Adele,REMEDY,74.0,,,"UK,Pop"
1688,Justin Bieber,LIFE IS WORTH LIVING,66.1,67.0,2.0,"Canada,Pop"
1689,Hailee Steinfeld,LOVE MYSELF,37.25,30.0,16.0,"Dance-Pop,Electro-Pop,Soundtrack,Pop"
1690,Jordan Smith,GREAT IS THY FAITHFULNESS,52.35,,,"Christian,Screen,Pop"
1691,Old Dominion,BREAK UP WITH HIM,92.83333333333333,44.0,20.0,Country
1692,Justin Bieber,CHILDREN,21.28,,,"Electronic,Dance-Pop,Dance,Canada,Pop"
1693,Justin Bieber,BEEN YOU,60.916666666666664,,,"Electronic,Dance,Dance-Pop,Canada,Pop"
1694,One Direction,IF I COULD FLY,81.0,,,"Ballad,Boy Band,UK,Pop"
1695,One Direction,OLIVIA,72.46153846153847,,,"Boy Band,UK,Pop"
1696,Justin Bieber,GET USED TO IT,28.285714285714285,,,"Electronic,Dance-Pop,Dance,Canada,Pop"
1697,One Direction,A.M.,48.714285714285715,,,"Boy Band,UK,Pop"
1698,One Direction,TEMPORARY FIX,83.0,,,"Boy Band,UK,Pop"
1699,Justin Bieber,TRUST,83.625,,,"R&;B,Canada,Pop"
1700,WALK THE MOON,SHUT UP AND DANCE,25.870967741935484,4.0,53.0,"Adult Contemporary,Pop-Rock,Adult Alternative,Electro-Pop,Alternative,Indie Pop,Indie Rock,Pop,Alternative Pop,Alternative Rock,Rock"
1701,Ed Sheeran,THINKING OUT LOUD,41.75,2.0,58.0,"Soul,UK,Pop"
1702,Rachel Platten,FIGHT SONG,78.89473684210526,6.0,31.0,"Power Pop,Pop"
1703,Sam Smith,WRITING'S ON THE WALL,23.037037037037038,71.0,2.0,"Soundtrack,Screen,Pop"
1704,Florida Georgia Line,ANYTHING GOES,41.0,55.0,18.0,Country
1705,Demi Lovato,COOL FOR THE SUMMER,56.0,11.0,20.0,Pop
1706,K Camp,COMFORTABLE,55.357142857142854,54.0,15.0,Rap
1707,Kenny Chesney,SAVE IT FOR A RAINY DAY,97.08333333333333,54.0,17.0,Country
1708,"Drake, Future",DIAMONDS DANCING,76.05,53.0,8.0,Rap
1709,Chris Stapleton,TRAVELLER,17.285714285714285,,,Country
1710,Jordan Smith,HALO,95.0,,,"Screen,Pop"
1711,Jess Glynne,HOLD MY HAND,74.5,86.0,6.0,"House,Electronic,UK,Pop"
1712,Nick Jonas,LEVELS,89.5,44.0,12.0,Pop
1713,Jason Derulo,WANT TO WANT ME,62.172413793103445,5.0,35.0,"Pop,R&;B"
1714,Meek Mill,ALL EYES ON YOU,18.84,21.0,20.0,"DMV,R&;B,Rap"
1715,"Drake, Future",SCHOLARSHIPS,65.5,69.0,7.0,"Trap,Rap"
1716,"Drake, Future",DIGITAL DASH,81.75,62.0,7.0,"Trap,Rap"
1717,Charlie Puth,MARVIN GAYE,14.952380952380953,21.0,20.0,Pop
1718,Kane Brown,USED TO LOVE YOU SOBER,80.0,,,Country
1719,Chase Rice,GONNA WANNA TONIGHT,78.0,67.0,12.0,Country
1720,"Lil Wayne, Charlie Puth",NOTHING BUT TROUBLE,55.85,86.0,7.0,"Screen,Rap"
1721,Major Lazer,POWERFUL,69.75,83.0,6.0,"Pop,Tech,Electro-Pop,Electro,Dance,Electronic"
1722,The Game,100,23.677419354838708,82.0,10.0,"Trap,Canada,West Coast,Rap"
1723,Rich Homie Quan,FLEX,58.8235294117647,26.0,27.0,Rap
1724,Brett Eldredge,LOSE MY MIND,92.0,48.0,20.0,Country
1725,Rae Sremmurd,THIS COULD BE US,20.365853658536587,49.0,20.0,Rap
1726,Keith Urban,"JOHN COUGAR, JOHN DEERE, JOHN 3:16",71.0,40.0,20.0,Country
1727,"Drake, Future",LIVE FROM THE GUTTER,99.0,74.0,5.0,"Trap,Canada,Rap"
1728,"Drake, Future",I'M THE PLUG,68.23809523809524,76.0,5.0,"Trap,Rap"
1729,Pentatonix,CAN'T SLEEP LOVE,66.0,,,"A Cappella,R&;B,Pop"
1730,Taylor Swift,BAD BLOOD,93.0,1.0,25.0,"Electro-Hop,Electro-Pop,Rap,Pop"
1731,"Nicky Jam, Enrique Iglesias",EL PERDON,94.0,56.0,30.0,"Latin Music,Latin Pop,En Espa\xc3\xb1ol,Reggaeton,Rap"
1732,Sam Hunt,HOUSE PARTY,61.333333333333336,26.0,20.0,Country
1733,"Maddie, Tae",FLY,48.370370370370374,61.0,14.0,Country
1734,"Drake, Future",CHANGE LOCATIONS,91.6,82.0,3.0,"Trap,Canada,Rap"
1735,The 1975,LOVE ME,97.25,,,"Alternative Pop,Alternative Rock,UK,Alternative Dance,Pop-Rock,New Wave,Pop,Rock"
1736,Fall Out Boy,UMA THURMAN,70.84210526315789,22.0,27.0,"Electronic Rock,Electro-Pop,Electronic,Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock"
1737,Jeremih,PLANEZ,77.08333333333333,44.0,20.0,"R&;B,Rap"
1738,Chris Janson,BUY ME A BOAT,81.85714285714286,41.0,20.0,Country
1739,"Drake, Future",PLASTIC BAG,69.0,78.0,2.0,Rap
1740,Future,JERSEY,78.625,87.0,2.0,"Trap,Rap"
1741,Andrew McMahon In The Wilderness,CECILIA AND THE SATELLITE,78.88235294117646,96.0,3.0,"Alternative Pop,Alternative,Adult Alternative,Alternative Rock,Synth Rock,Synth-Pop,Pop-Rock,Rock,Pop"
1742,A Great Big World,HOLD EACH OTHER,64.9090909090909,99.0,2.0,"R&;B,Rap,Pop"
1743,Little Mix,BLACK MAGIC,44.75,67.0,8.0,"Dance-Pop,Girl Group,UK,Pop"
1744,Drake,30 FOR 30 FREESTYLE,78.57142857142857,88.0,2.0,"Canada,Rap"
1745,Luke Bryan,KICK THE DUST UP,78.0,26.0,20.0,Country
1746,Jidenna,CLASSIC MAN,75.61111111111111,22.0,21.0,R&;B
1747,Andy Grammer,"HONEY, I'M GOOD.",62.25,9.0,31.0,"Rock,Pop"
1748,Thomas Rhett,CRASH AND BURN,91.0,36.0,20.0,"Pop,Country"
1749,Naughty Boy,RUNNIN',37.96296296296296,,,"Drum &; Bass,Electronic,Pop"
1750,Flo Rida,"I DON'T LIKE IT, I LOVE IT",100.0,43.0,14.0,"Pop,Rap"
1751,Kendrick Lamar,ALRIGHT,97.5,81.0,14.0,"Hip-Hop,Pop,Politics,Screen,Producer,Post-Bop,Christian,Conscious Hip-Hop,Trap,West Coast,Rap"
1752,Meek Mill,R.I.C.O.,48.0,40.0,13.0,"Gangsta Rap,Beef,Trap,Canada,East Coast,Rap"
1753,Omarion,POST TO BE,97.66666666666667,13.0,37.0,"DMV,West Coast,Rap,Memes,R&;B"
1754,The Weeknd,TELL YOUR FRIENDS,82.1,54.0,3.0,"Canada,Pop,R&;B"
1755,Dustin Lynch,HELL OF A NIGHT,67.0,55.0,16.0,Country
1756,5 Seconds Of Summer,SHE'S KINDA HOT,71.3,22.0,9.0,"Australia,Pop-Rock,Pop,Punk Rock,Rock"
1757,Trey Songz,ABOUT YOU,55.73529411764706,83.0,3.0,R&;B
1758,Jake Owen,REAL LIFE,56.0,74.0,13.0,Country
1759,Tori Kelly,SHOULD'VE BEEN US,100.0,51.0,10.0,"Pop,R&;B"
1760,Kygo,FIRESTONE,93.0,,,"Tropical House,Electronic,Pop"
1761,Zac Brown Band,LOVING YOU EASY,87.5,40.0,17.0,Country
1762,The Weeknd,PRISONER,53.0,47.0,3.0,"Canada,Pop,R&;B"
1763,The Weeknd,DARK TIMES,83.0,91.0,3.0,"R&;B,Blues,Canada,Pop"
1764,Zedd,BEAUTIFUL NOW,67.0,64.0,14.0,"House,Electronic,Pop"
1765,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson",ROTTEN TO THE CORE,44.5,38.0,6.0,"Disney,Screen,Pop"
1766,Pia Mia,DO IT AGAIN,38.642857142857146,71.0,11.0,"Pop,R&;B,Rap"
