,Artist,Name,Genre,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,grammy_win
37,"MUSTARD, MIGOS",PURE WATER,"ATLANTA,TRAP,WEST COAST,MOTOWN,RAP",0.8959183673469387,0.2244897959183673,0.2352941176470588,0.0
38,ED SHEERAN,CROSS ME,"RAP,R&;B,UK,POP",0.8437267080745342,0.336734693877551,0.0352941176470588,0.0
39,MEEK MILL,GOING BAD,"EAST COAST,CANADA,RAP",0.5634510869565218,0.0510204081632653,0.3294117647058823,0.0
40,KHALID,BETTER,"ELECTRO-POP,POP,R&;B",0.1704741705802151,0.0714285714285714,0.4588235294117647,0.0
41,"LADY GAGA, BRADLEY COOPER",SHALLOW,"POP COUNTRY,FOLK,MUSICALS,SCREEN,POP-ROCK,SOUNDTRACK,POP",0.9155279503105592,0.0,0.4352941176470588,1.0
42,CARDI B,PRESS,"HARDCORE HIP-HOP,TRAP,HIP-HOP,RAP",0.3443817052512705,0.1530612244897959,0.0235294117647058,0.0
43,DAN + SHAY,SPEECHLESS,COUNTRY,0.1621428571428571,0.2346938775510204,0.2941176470588235,0.0
44,TRAVIS SCOTT,SICKO MODE,"HIP-HOP,MEMES,RAP,CANADA,TRAP",0.7254658385093168,0.0,0.5294117647058824,0.0
45,"TYLER, THE CREATOR",EARFQUAKE,"HIP-HOP,ATLANTA,ALTERNATIVE R&;B,EXPERIMENTAL,NEO SOUL,R&;B,RAP,NEO-PSYCHEDELIA,ALTERNATIVE,PSYCHEDELIC",0.9413388543823328,0.1224489795918367,0.0470588235294117,0.0
46,A BOOGIE WIT DA HOODIE,LOOK BACK AT IT,"POP,RAP",0.6409937888198758,0.2653061224489795,0.3176470588235294,0.0
47,NLE CHOPPA,SHOTTA FLOW,RAP,0.8944099378881988,0.4795918367346938,0.0941176470588235,0.0
48,ARIANA GRANDE,"BREAK UP WITH YOUR GIRLFRIEND, I'M BORED","TRAP,TRIP-HOP,LO-FI,R&;B,POP",0.8099378881987578,0.010204081632653,0.2117647058823529,0.0
49,HALSEY,NIGHTMARE,"ALTERNATIVE ROCK,ALTERNATIVE POP,ALTERNATIVE,POP-PUNK,POP",0.8521739130434783,0.1428571428571428,0.0470588235294117,0.0
50,"YG, TYGA, JON Z",GO LOKO,"TRAP,PUERTO RICO,WEST COAST,RAP",0.7747412008281575,0.4897959183673468,0.0705882352941176,0.0
51,LEWIS CAPALDI,SOMEONE YOU LOVED,"UK,POP",0.9155279503105592,0.5306122448979591,0.0588235294117647,0.0
52,THOMAS RHETT,LOOK WHAT GOD GAVE HER,COUNTRY,0.6726708074534162,0.3163265306122448,0.1764705882352941,0.0
53,JONAS BROTHERS,COOL,"TEEN POP,POP-ROCK,POP",0.2211475894705709,0.2653061224489795,0.1176470588235294,0.0
54,OFFSET,CLOUT,"EAST COAST,MOTOWN,RAP",0.9472049689440992,0.3877551020408162,0.1176470588235294,0.0
55,"MARSHMELLO, KANE BROWN",ONE THING RIGHT,POP,0.2503105590062112,0.4877551020408163,0.1741176470588235,0.0
56,KANE BROWN,GOOD AS YOU,COUNTRY,0.5268245341614907,0.3571428571428571,0.188235294117647,0.0
57,YK OSIRIS,WORTH IT,"RAP,EAST COAST,R&;B",0.5522981366459628,0.520408163265306,0.1999999999999999,0.0
58,DJ KHALED,JUST US,"RAP,R&;B",0.6409937888198758,0.4285714285714285,0.0470588235294117,0.0
59,LUKE BRYAN,KNOCKIN' BOOTS,COUNTRY,0.4509316770186335,0.5918367346938775,0.0823529411764705,0.0
60,P!NK,WALK ME HOME,POP,0.3875776397515528,0.4897959183673468,0.1764705882352941,0.0
61,MAREN MORRIS,GIRL,"POP,COUNTRY,POP COUNTRY",0.2423913043478261,0.5918367346938775,0.1764705882352941,0.0
62,5 SECONDS OF SUMMER,EASIER,"AUSTRALIA,POP",0.8046583850931678,0.4795918367346938,0.0352941176470588,0.0
